seed,test_fold,val_fold,model,n_train,n_val,n_test,auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct,n,n_warn,n_low_observed_risk,n_defer,defer_rate,actionable_coverage,warn_recall_on_positives,warn_fpr_on_negatives,positive_rate_within_low_observed_risk,positive_miss_fraction_assigned_low_observed_risk
7702,3,4,dcrg_sequence_noisy_or,1319,424,447,0.9966517422663437,0.9990583804143126,0.05550417386348989,0.9993034839534469,0.16129032258064516,0.0,1.0,0.27777777777777773,0.9085613179705999,1.0,0.02824858757062147,0.9029126213592233,0.9489795918367347,0.5197802161737588,1.0,0.07062146892655367,0.788135593220339,0.8815165876777251,,,,,,,,,,
7702,3,4,coverage_aware_selective_policy,1319,424,447,,,,,,,,,0.9085613179705999,,,,,,,,,,447.0,103.0,111.0,233.0,0.5212527964205816,0.47874720357941836,1.0,0.02824858757062147,0.0,0.0
7702,4,0,sequence,1320,446,424,0.9585195200956915,0.9765633777498147,0.059472722507393765,0.7633262872695923,0.8638743455497382,0.02575107296137339,0.9649122807017544,0.9116022099447514,0.4819891154766083,0.9476439790575916,0.04291845493562232,0.9476439790575916,0.9476439790575917,0.3064280152320862,0.9738219895287958,0.055793991416309016,0.9346733668341709,0.9538461538461539,,,,,,,,,,
7702,4,0,dcrg,1320,446,424,0.980966356816407,0.9877311641911781,0.030436630653636238,0.9897718287022623,0.518324607329843,0.004291845493562232,0.99,0.6804123711340206,0.6894798400272153,0.9738219895287958,0.055793991416309016,0.9346733668341709,0.9538461538461539,0.03657801692894058,1.0,0.0944206008583691,0.8967136150234741,0.9455445544554456,,,,,,,,,,
7702,4,0,dcrg_sequence_noisy_or,1320,446,424,0.9809386020759581,0.9881581017010089,0.04942459673917808,0.9974507587154232,0.4973821989528796,0.004291845493562232,0.9895833333333334,0.6620209059233451,0.7695420972164204,0.9947643979057592,0.030042918454935622,0.9644670050761421,0.9793814432989691,0.49526893611346645,1.0,0.09012875536480687,0.9009433962264151,0.9478908188585607,,,,,,,,,,
7702,4,0,coverage_aware_selective_policy,1320,446,424,,,,,,,,,0.7695420972164204,,,,,,,,,,424.0,197.0,50.0,177.0,0.41745283018867924,0.5825471698113207,0.9947643979057592,0.030042918454935622,0.02,0.005235602094240838
7703,0,1,sequence,1298,446,446,0.7689883577335449,0.8480912101682778,0.17769722775390634,0.9281742572784424,0.4407894736842105,0.013605442176870748,0.9436619718309859,0.600896860986547,0.7362398505210876,0.5328947368421053,0.07142857142857142,0.7941176470588235,0.6377952755905513,0.5816757082939148,0.5657894736842105,0.09523809523809523,0.7543859649122807,0.6466165413533834,,,,,,,,,,
7703,0,1,dcrg,1298,446,446,0.9366796781331226,0.9790547798066596,0.04162185744210316,0.9914400365632056,0.13157894736842105,0.006802721088435374,0.9090909090909091,0.22988505747126434,0.385919933262539,0.9802631578947368,0.05442176870748299,0.9030303030303031,0.9400630914826498,0.012532729382249613,0.9868421052631579,0.1836734693877551,0.7352941176470589,0.8426966292134831,,,,,,,,,,
7703,0,1,dcrg_sequence_noisy_or,1298,446,446,0.8968247572964028,0.9529739527389903,0.07513318314012987,0.9985041828676503,0.3618421052631579,0.013605442176870748,0.9322033898305084,0.5213270142180095,0.7378101644179831,0.6052631578947368,0.0782312925170068,0.8,0.6891385767790261,0.5869133135792093,0.9868421052631579,0.10204081632653061,0.8333333333333334,0.9036144578313252,,,,,,,,,,
7703,0,1,coverage_aware_selective_policy,1298,446,446,,,,,,,,,0.7378101644179831,,,,,,,,,,446.0,115.0,140.0,191.0,0.4282511210762332,0.5717488789237668,0.6052631578947368,0.0782312925170068,0.42142857142857143,0.3881578947368421
7703,1,2,sequence,1317,427,446,0.9517524763550564,0.9837214611872146,0.03574365259133984,0.9492891430854797,0.4452054794520548,0.006666666666666667,0.9701492537313433,0.6103286384976526,0.598807156085968,0.9452054794520548,0.03666666666666667,0.9261744966442953,0.9355932203389831,0.036790378391742706,0.9657534246575342,0.09666666666666666,0.8294117647058824,0.8924050632911393,,,,,,,,,,
7703,1,2,dcrg,1317,427,446,0.9543888684530237,0.9901255707762557,0.025282822349031696,0.9342748907266394,0.7397260273972602,0.013333333333333334,0.9642857142857143,0.8372093023255813,0.207520507058701,1.0,0.05333333333333334,0.9012345679012346,0.948051948051948,0.026376064408111237,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756,,,,,,,,,,
7703,1,2,dcrg_sequence_noisy_or,1317,427,446,0.9525077277991774,0.9897716894977168,0.031195285026493363,0.9538989212128861,0.8972602739726028,0.013333333333333334,0.9703703703703703,0.9323843416370107,0.7356134413471644,0.9657534246575342,0.023333333333333334,0.9527027027027027,0.9591836734693877,0.24587186368447234,0.9726027397260274,0.07333333333333333,0.8658536585365854,0.9161290322580644,,,,,,,,,,
7703,1,2,coverage_aware_selective_policy,1317,427,446,,,,,,,,,0.7356134413471644,,,,,,,,,,446.0,148.0,71.0,227.0,0.5089686098654709,0.4910313901345291,0.9657534246575342,0.023333333333333334,0.056338028169014086,0.0273972602739726
7703,2,3,sequence,1316,447,427,0.9508780989744573,0.9730985571044265,0.05953323125825668,0.4248834252357483,0.8620689655172413,0.031914893617021274,0.9328358208955224,0.8960573476702509,0.019385654479265213,0.9310344827586207,0.07092198581560284,0.8709677419354839,0.9,0.019385654479265213,0.9310344827586207,0.07092198581560284,0.8709677419354839,0.9,,,,,,,,,,
7703,2,3,dcrg,1316,447,427,0.9593926754014355,0.9867204695524578,0.03127824326055905,0.927068115760666,0.3586206896551724,0.0070921985815602835,0.9629629629629629,0.5226130653266332,0.09112458917480659,0.9793103448275862,0.04964539007092199,0.9102564102564102,0.9435215946843852,0.017500930097743814,0.993103448275862,0.08156028368794327,0.8622754491017964,0.9230769230769231,,,,,,,,,,
7703,2,3,dcrg_sequence_noisy_or,1316,447,427,0.9813260574138827,0.9899241868427489,0.029658681173096963,0.927162260511147,0.9241379310344827,0.02127659574468085,0.9571428571428572,0.9403508771929825,0.3419047287698951,0.9793103448275862,0.0425531914893617,0.922077922077922,0.9498327759197325,0.051548820942734275,0.993103448275862,0.1347517730496454,0.7912087912087912,0.8807339449541284,,,,,,,,,,
7703,2,3,coverage_aware_selective_policy,1316,447,427,,,,,,,,,0.3419047287698951,,,,,,,,,,427.0,154.0,58.0,215.0,0.5035128805620609,0.4964871194379391,0.9793103448275862,0.0425531914893617,0.017241379310344827,0.006896551724137931
7703,3,4,sequence,1319,424,447,0.9662697725642884,0.9887309397970961,0.03442039853200834,0.9821181297302246,0.40860215053763443,0.0,1.0,0.5801526717557252,0.669983983039856,0.8602150537634409,0.00847457627118644,0.963855421686747,0.909090909090909,0.16610893607139587,0.967741935483871,0.1384180790960452,0.6474820143884892,0.7758620689655172,,,,,,,,,,
7703,3,4,dcrg,1319,424,447,0.9064597508538585,0.9838557803292631,0.02474291365381698,0.9715248296838362,0.43010752688172044,0.01977401129943503,0.851063829787234,0.5714285714285715,0.2651233787985183,1.0,0.062146892655367235,0.808695652173913,0.8942307692307693,0.015443484347612517,1.0,0.17796610169491525,0.5961538461538461,0.7469879518072289,,,,,,,,,,
