0xe0	0xe9
0xab3V0xb67V0x1f3	0xabfB0xb67B0x1f3
0x8d9V0x236	0x8e4B0x236
0x8c3V0x8d1V0x236	0x8cbB0x8d1B0x236
0xdf3V0x49c	0xdfeB0x49c
0xdbeV0x49c	0xdc7B0x49c
0xdc3V0x49c	0xda3B0x49c
0xdcaV0x49c	0xdd7B0x49c
0xdd8V0x49c	0xde0B0x49c
0xdffV0x49c	0xe0bB0x49c
0xe14V0x49c	0xe1dB0x49c
0xe19V0x49c	0xdb3B0x49c
0xdb5V0x49c	0xdbdB0x49c
0xdb9V0x49c	0xd99B0x49c
0x8c3V0xdebV0x49c	0x8cbB0xdebB0x49c
0x89bV0xdfeV0x49c	0x8a3B0xdfeB0x49c
0x8d9V0x650	0x8e4B0x650
0x8c3V0x8d1V0x650	0x8cbB0x8d1B0x650
0x8d9V0x5fe	0x8e4B0x5fe
0x8c3V0x8d1V0x5fe	0x8cbB0x8d1B0x5fe
0x862V0xc1	0x2160B0xc1
0x85bV0xc1	0x867B0xc1
0x869V0xc1	0x874B0xc1
0x87aV0xc1	0x885B0xc1
0x810V0x867V0xc1	0x818B0x867B0xc1
0x800V0x80aV0x867V0xc1	0x807B0x80aB0x867B0xc1
0x7f5V0x80aV0x867V0xc1	0x7fdB0x80aB0x867B0xc1
0x7e5V0x7f4V0x80aV0x867V0xc1	0x7edB0x7f4B0x80aB0x867B0xc1
0x7e9V0x7f4V0x80aV0x867V0xc1	0x7c4B0x7f4B0x80aB0x867B0xc1
0x843V0x874V0xc1	0x84bB0x874B0xc1
0x833V0x83dV0x874V0xc1	0x83aB0x83dB0x874B0xc1
0x828V0x83dV0x874V0xc1	0x830B0x83dB0x874B0xc1
0x8fcV0x127	0x2183B0x127
0x8f5V0x127	0x901B0x127
0x903V0x127	0x90eB0x127
0x914V0x127	0x91fB0x127
0x925V0x127	0x930B0x127
0x810V0x901V0x127	0x818B0x901B0x127
0x800V0x80aV0x901V0x127	0x807B0x80aB0x901B0x127
0x7f5V0x80aV0x901V0x127	0x7fdB0x80aB0x901B0x127
0x7e5V0x7f4V0x80aV0x901V0x127	0x7edB0x7f4B0x80aB0x901B0x127
0x7e9V0x7f4V0x80aV0x901V0x127	0x7c4B0x7f4B0x80aB0x901B0x127
0x810V0x90eV0x127	0x818B0x90eB0x127
0x800V0x80aV0x90eV0x127	0x807B0x80aB0x90eB0x127
0x7f5V0x80aV0x90eV0x127	0x7fdB0x80aB0x90eB0x127
0x7e5V0x7f4V0x80aV0x90eV0x127	0x7edB0x7f4B0x80aB0x90eB0x127
0x7e9V0x7f4V0x80aV0x90eV0x127	0x7c4B0x7f4B0x80aB0x90eB0x127
0x843V0x91fV0x127	0x84bB0x91fB0x127
0x833V0x83dV0x91fV0x127	0x83aB0x83dB0x91fB0x127
0x828V0x83dV0x91fV0x127	0x830B0x83dB0x91fB0x127
0x97eV0x18d	0x21a6B0x18d
0x977V0x18d	0x983B0x18d
0x985V0x18d	0x990B0x18d
0x810V0x983V0x18d	0x818B0x983B0x18d
0x800V0x80aV0x983V0x18d	0x807B0x80aB0x983B0x18d
0x7f5V0x80aV0x983V0x18d	0x7fdB0x80aB0x983B0x18d
0x7e5V0x7f4V0x80aV0x983V0x18d	0x7edB0x7f4B0x80aB0x983B0x18d
0x7e9V0x7f4V0x80aV0x983V0x18d	0x7c4B0x7f4B0x80aB0x983B0x18d
0xb9aV0x21b	0x23b3B0x21b
0xb93V0x21b	0xb9fB0x21b
0xba1V0x21b	0xbacB0x21b
0xbb2V0x21b	0xbbdB0x21b
0x810V0xb9fV0x21b	0x818B0xb9fB0x21b
0x800V0x80aV0xb9fV0x21b	0x807B0x80aB0xb9fB0x21b
0x7f5V0x80aV0xb9fV0x21b	0x7fdB0x80aB0xb9fB0x21b
0x7e5V0x7f4V0x80aV0xb9fV0x21b	0x7edB0x7f4B0x80aB0xb9fB0x21b
0x7e9V0x7f4V0x80aV0xb9fV0x21b	0x7c4B0x7f4B0x80aB0xb9fB0x21b
0x810V0xbacV0x21b	0x818B0xbacB0x21b
0x800V0x80aV0xbacV0x21b	0x807B0x80aB0xbacB0x21b
0x7f5V0x80aV0xbacV0x21b	0x7fdB0x80aB0xbacB0x21b
0x7e5V0x7f4V0x80aV0xbacV0x21b	0x7edB0x7f4B0x80aB0xbacB0x21b
0x7e9V0x7f4V0x80aV0xbacV0x21b	0x7c4B0x7f4B0x80aB0xbacB0x21b
0x97eV0x37e	0x21a6B0x37e
0x977V0x37e	0x983B0x37e
0x985V0x37e	0x990B0x37e
0x810V0x983V0x37e	0x818B0x983B0x37e
0x800V0x80aV0x983V0x37e	0x807B0x80aB0x983B0x37e
0x7f5V0x80aV0x983V0x37e	0x7fdB0x80aB0x983B0x37e
0x7e5V0x7f4V0x80aV0x983V0x37e	0x7edB0x7f4B0x80aB0x983B0x37e
0x7e9V0x7f4V0x80aV0x983V0x37e	0x7c4B0x7f4B0x80aB0x983B0x37e
0xd7eV0x43b	0x23d6B0x43b
0xd77V0x43b	0xd83B0x43b
0xd85V0x43b	0xd90B0x43b
0xd60V0xd83V0x43b	0xd68B0xd83B0x43b
0xd50V0xd5aV0xd83V0x43b	0xd57B0xd5aB0xd83B0x43b
0xd45V0xd5aV0xd83V0x43b	0xd4dB0xd5aB0xd83B0x43b
0x97eV0x4fb	0x21a6B0x4fb
0x977V0x4fb	0x983B0x4fb
0x985V0x4fb	0x990B0x4fb
0x810V0x983V0x4fb	0x818B0x983B0x4fb
0x800V0x80aV0x983V0x4fb	0x807B0x80aB0x983B0x4fb
0x7f5V0x80aV0x983V0x4fb	0x7fdB0x80aB0x983B0x4fb
0x7e5V0x7f4V0x80aV0x983V0x4fb	0x7edB0x7f4B0x80aB0x983B0x4fb
0x7e9V0x7f4V0x80aV0x983V0x4fb	0x7c4B0x7f4B0x80aB0x983B0x4fb
0x97eV0x525	0x21a6B0x525
0x977V0x525	0x983B0x525
0x985V0x525	0x990B0x525
0x810V0x983V0x525	0x818B0x983B0x525
0x800V0x80aV0x983V0x525	0x807B0x80aB0x983B0x525
0x7f5V0x80aV0x983V0x525	0x7fdB0x80aB0x983B0x525
0x7e5V0x7f4V0x80aV0x983V0x525	0x7edB0x7f4B0x80aB0x983B0x525
0x7e9V0x7f4V0x80aV0x983V0x525	0x7c4B0x7f4B0x80aB0x983B0x525
0x6c1V0x458	0x701B0x458
0x6fdV0x458	0x71eB0x458
0x712V0x458	0x71bB0x458
0xf88V0x701V0x458	0x24b4B0x701B0x458
0xfa5V0x701V0x458	0x24d7B0x701B0x458
0xf81V0x701V0x458	0xf8dB0x701B0x458
0xf9eV0x701V0x458	0xfaaB0x701B0x458
0xfabV0x701V0x458	0xfb6B0x701B0x458
0xf5aV0xfaaV0x701V0x458	0x2491B0xfaaB0x701B0x458
0xf62V0xfaaV0x701V0x458	0xf6fB0xfaaB0x701B0x458
0xf53V0xfaaV0x701V0x458	0xf5fB0xfaaB0x701B0x458
0xeefV0xf5fV0xfaaV0x701V0x458	0x2445B0xf5fB0xfaaB0x701B0x458
0xf33V0xf5fV0xfaaV0x701V0x458	0xe5eB0xf5fB0xfaaB0x701B0x458
0xef5V0xf5fV0xfaaV0x701V0x458	0xefdB0xf5fB0xfaaB0x701B0x458
0xf2cV0xf5fV0xfaaV0x701V0x458	0xf38B0xf5fB0xfaaB0x701B0x458
0xee8V0xf5fV0xfaaV0x701V0x458	0xef4B0xf5fB0xfaaB0x701B0x458
0xf39V0xf5fV0xfaaV0x701V0x458	0xf43B0xf5fB0xfaaB0x701B0x458
0xf0cV0xf5fV0xfaaV0x701V0x458	0xf1cB0xf5fB0xfaaB0x701B0x458
0xf0fV0xf5fV0xfaaV0x701V0x458	0xf17B0xf5fB0xfaaB0x701B0x458
0xf13V0xf5fV0xfaaV0x701V0x458	0xedaB0xf5fB0xfaaB0x701B0x458
0xeb2V0xf17V0xf5fV0xfaaV0x701V0x458	0x23f9B0xf17B0xf5fB0xfaaB0x701B0x458
0xeabV0xf17V0xf5fV0xfaaV0x701V0x458	0xeb7B0xf17B0xf5fB0xfaaB0x701B0x458
0xeccV0xf17V0xf5fV0xfaaV0x701V0x458	0xed5B0xf17B0xf5fB0xfaaB0x701B0x458
0xed1V0xf17V0xf5fV0xfaaV0x701V0x458	0xe8fB0xf17B0xf5fB0xfaaB0x701B0x458
0xe90V0xf17V0xf5fV0xfaaV0x701V0x458	0xe98B0xf17B0xf5fB0xfaaB0x701B0x458
0xec2V0xf17V0xf5fV0xfaaV0x701V0x458	0xec9B0xf17B0xf5fB0xfaaB0x701B0x458
0xec5V0xf17V0xf5fV0xfaaV0x701V0x458	0x7b3B0xf17B0xf5fB0xfaaB0x701B0x458
