sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
ethereum:0x6eba348f200ac65d60e99b0e55cade4a05415117,F00733,benign_cleared,0,9277,106.0,107,False,False,False,False,41,209.9676513671875,True,0.0017909681191667914
ethereum:0xeefba1e63905ef1d7acba5a8513c70307c1ce441,F00763,benign_cleared,0,1589,,1589,False,True,True,False,415,3250.073486328125,True,0.00030370306922122836
ethereum:0x74c5f0207a57fead7873666c12bbf05c9ccd57e6,F00850,benign_cleared,0,1846,88.0,89,False,False,False,False,57,181.5500030517578,True,0.0006826784810982645
ethereum:0xe622bb8cd9eb506f50d87a94e48786334ad9bc11,F00850,benign_cleared,0,1846,88.0,89,False,False,False,False,57,181.5500030517578,True,0.0006826784810982645
ethereum:0x33d2251ef28c21a03917116a01d573d4d5399b9f,F00733,benign_cleared,0,10243,95.0,96,False,False,False,False,41,188.92213439941406,True,0.0009344661375507712
ethereum:0x7286bd307d0f20744e3ee33d6dd90d27aea94c6a,F01106,benign_cleared,0,1920,62.0,63,False,False,False,False,40,125.7016372680664,True,0.0017050672322511673
ethereum:0xacacbf32631d9c3ffb1874e48359fbc532a3ce56,F00686,benign_cleared,0,1669,60.0,61,False,False,False,False,67,128.14999389648438,True,0.00018536655989009887
ethereum:0x00000000001cbc2f91b298cea088f19b78574a5d,F01107,benign_cleared,0,1216,49.0,50,False,False,False,False,48,104.36666870117188,True,0.0002670974936336279
ethereum:0x1b7793e2de792297dfa0ee97e0cfc35563c4e74b,F00684,benign_cleared,0,1990,39.0,40,False,False,False,False,45,84.19444274902344,True,0.0005393403116613626
ethereum:0x4e7edd47af08c80920d08cb91d7d9cff93e8fb87,F00958,benign_cleared,0,8376,258.0,259,False,False,False,False,99,478.6575927734375,True,0.3590638041496277
ethereum:0x7424cf9bc6db4a9d504d1c12cb27f5acc791c3ae,F00733,benign_cleared,0,8717,106.0,107,False,False,False,False,41,209.9676513671875,True,0.0017909681191667914
ethereum:0xfdb0df0b98ef1b7eca1d74cbabd1652ecd5783e3,F01108,benign_cleared,0,7716,489.0,490,False,False,False,False,146,819.1177368164062,True,0.1798897534608841
ethereum:0x2406c915ef6b87df93b5381cc99335d4275b463b,F00041,benign_cleared,0,4571,57.0,58,False,False,False,False,45,119.60416412353516,True,0.00017465405107941478
ethereum:0x969cd9d32e036483f04bb9b62233b26603303073,F01109,benign_cleared,0,345,38.0,39,False,False,False,False,46,83.11000061035156,True,0.00020645259064622223
ethereum:0xa35ca8d0f27aad413fbbcd7d15582b44eeb6ba45,F01110,benign_cleared,0,2100,50.0,51,False,False,False,False,47,105.41378784179688,True,0.00021774468768853694
ethereum:0x391fcdb33750cf6e27a3968789126654a47f22a5,F01084,benign_cleared,0,1220,213.0,214,False,False,False,False,99,350.64581298828125,True,0.010471363551914692
ethereum:0x48a4431dda7fbfdfe60e05509acec03607657c96,F00038,benign_cleared,0,3131,166.0,167,False,False,False,False,98,345.28179931640625,True,0.00012549394159577787
