0xe	0x22
0x14d3V0x9bde	0x14dbB0x9bde
0x14ddV0x9bde	0x14e9B0x9bde
0x14f3V0x9bde	0x48f8B0x9bde
0x148dV0x14dbV0x9bde	0x485cB0x14dbB0x9bde
0x14a1V0x14cfV0x9bde	0x48aaB0x14cfB0x9bde
0x1a71V0x1013	0x1a79B0x1013
0x1a6bV0x1013	0x1a93B0x1013
0x1a7bV0x1013	0x1a87B0x1013
0x148dV0x1a79V0x1013	0x485cB0x1a79B0x1013
0x14a1V0x1a6fV0x1013	0x48aaB0x1a6fB0x1013
0x1a71V0x1150	0x1a79B0x1150
0x1a6bV0x1150	0x1a93B0x1150
0x1a7bV0x1150	0x1a87B0x1150
0x148dV0x1a79V0x1150	0x485cB0x1a79B0x1150
0x14a1V0x1a6fV0x1150	0x48aaB0x1a6fB0x1150
0x14d3V0x9c28	0x14dbB0x9c28
0x14ddV0x9c28	0x14e9B0x9c28
0x14f3V0x9c28	0x48f8B0x9c28
0x148dV0x14dbV0x9c28	0x485cB0x14dbB0x9c28
0x14a1V0x14cfV0x9c28	0x48aaB0x14cfB0x9c28
0x1a71V0x1caf	0x1a79B0x1caf
0x1a6bV0x1caf	0x1a93B0x1caf
0x1a7bV0x1caf	0x1a87B0x1caf
0x148dV0x1a79V0x1caf	0x485cB0x1a79B0x1caf
0x14a1V0x1a6fV0x1caf	0x48aaB0x1a6fB0x1caf
0x1d89V0x1cff	0x1e3bB0x1cff
0x1d9aV0x1cff	0x1dc7B0x1cff
0x1dccV0x1cff	0x1e00B0x1cff
0x1e04V0x1cff	0x1e0aB0x1cff
0x1d8eV0x1cff	0x1d95B0x1cff
0x14d3V0x12e3	0x14dbB0x12e3
0x14ddV0x12e3	0x14e9B0x12e3
0x14f3V0x12e3	0x48f8B0x12e3
0x148dV0x14dbV0x12e3	0x485cB0x14dbB0x12e3
0x14a1V0x14cfV0x12e3	0x48aaB0x14cfB0x12e3
0x1addV0xff4	0x1ae6B0xff4
0x1af1V0xff4	0x1b77B0xff4
0x1b35V0xff4	0x1b69B0xff4
0x1b3aV0xff4	0x9d24B0xff4
0x1bbdV0xff4	0x1bf0B0xff4
0x1bc1V0xff4	0x9d49B0xff4
0x1ac7V0xff4	0x1ad0B0xff4
0x1ad9V0xff4	0x4c95B0xff4
0x1ae8V0xff4	0x4cdeB0xff4
0x1b7dV0xff4	0x1baaB0xff4
0x1b31V0xff4	0x4d2cB0xff4
0x1b6bV0xff4	0x1b72B0xff4
0x1babV0xff4	0x1bb3B0xff4
0x1bb9V0xff4	0x4d4fB0xff4
0x1bf2V0xff4	0x9d6eB0xff4
0x1af6V0xff4	0x1b2cB0xff4
0x188aV0x1addV0xff4	0x4b20B0x1addB0xff4
0x1897V0x1addV0xff4	0x4b44B0x1addB0xff4
0x1877V0x1addV0xff4	0x4afcB0x1addB0xff4
0x188aV0x1ac0V0xff4	0x4b20B0x1ac0B0xff4
0x1897V0x1ac0V0xff4	0x4b44B0x1ac0B0xff4
0x1877V0x1ac0V0xff4	0x4afcB0x1ac0B0xff4
0x188aV0x1baaV0xff4	0x4b20B0x1baaB0xff4
0x1897V0x1baaV0xff4	0x4b44B0x1baaB0xff4
0x1877V0x1baaV0xff4	0x4afcB0x1baaB0xff4
0x188aV0x1af5V0xff4	0x4b20B0x1af5B0xff4
0x1897V0x1af5V0xff4	0x4b44B0x1af5B0xff4
0x1877V0x1af5V0xff4	0x4afcB0x1af5B0xff4
0x14d3V0x1b35V0xff4	0x14dbB0x1b35B0xff4
0x14ddV0x1b35V0xff4	0x14e9B0x1b35B0xff4
0x14f3V0x1b35V0xff4	0x48f8B0x1b35B0xff4
0x148dV0x14dbV0x1b35V0xff4	0x485cB0x14dbB0x1b35B0xff4
0x14a1V0x14cfV0x1b35V0xff4	0x48aaB0x14cfB0x1b35B0xff4
0x14d3V0x1bbdV0xff4	0x14dbB0x1bbdB0xff4
0x14ddV0x1bbdV0xff4	0x14e9B0x1bbdB0xff4
0x14f3V0x1bbdV0xff4	0x48f8B0x1bbdB0xff4
0x148dV0x14dbV0x1bbdV0xff4	0x485cB0x14dbB0x1bbdB0xff4
0x14a1V0x14cfV0x1bbdV0xff4	0x48aaB0x14cfB0x1bbdB0xff4
0x1aa8V0x86f	0x1aafB0x86f
0x1ab2V0x86f	0x1ab8B0x86f
0x1a71V0x1a98V0x86f	0x1a79B0x1a98B0x86f
0x1a6bV0x1a98V0x86f	0x1a93B0x1a98B0x86f
0x1a7bV0x1a98V0x86f	0x1a87B0x1a98B0x86f
0x148dV0x1a79V0x1a98V0x86f	0x485cB0x1a79B0x1a98B0x86f
0x14a1V0x1a6fV0x1a98V0x86f	0x48aaB0x1a6fB0x1a98B0x86f
0x1aa8V0xf1b	0x1aafB0xf1b
