item_id,dependence_cluster_id,dependence_cluster_size,linkage_evidence,authority_address,creator_address,creator_kind,public_name_signals,canonical_similarity_holds,development_control_similarity_holds,public_evidence_references
ethereum:0x37e406f223c79715fb76402b742c55d7fdb73479,D0030,1,SINGLETON_NO_MUST_LINK,0xcd0ba0e03cf78a3aa9e2b8fd7200d4607e0ea208,0xcc399f359f02938f21ed8d5778cd72388adbfc2d,CONTRACT,,F00175:0.408264,,"https://eth.blockscout.com/api/v2/addresses/0x37e406f223c79715fb76402b742c55d7fdb73479;https://eth.blockscout.com/api/v2/smart-contracts/0x37e406f223c79715fb76402b742c55d7fdb73479;https://etherscan.io/address/0x37e406f223c79715fb76402b742c55d7fdb73479;https://etherscan.io/tx/0xac4ca5bc697ec842ee6168eb575f98272a2cb07881a79cc1d836661f0227c51e;https://sourcify.dev/server/v2/contract/1/0x37e406f223c79715fb76402b742c55d7fdb73479?fields=compilation,proxyResolution"
ethereum:0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,D0031,2,SHARED_AUTHORITY_EOA,0xfa23abfc059d8f6c5909fb4a6f8e6170d2a6f75e,0x9450c13261fd10aa070adb92d1a91c7080d944ef,EOA,,F00081:0.622881;F01261:0.596745;F00003:0.584806;F00056:0.584559;F00039:0.566667,,"https://eth.blockscout.com/api/v2/addresses/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://eth.blockscout.com/api/v2/smart-contracts/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://etherscan.io/address/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe;https://etherscan.io/tx/0xfb55041473ccd7ba1ab5a04c651830ddf86b8d0b693ab8d93e1cd8a701fb46e0;https://sourcify.dev/server/v2/contract/1/0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe?fields=compilation,proxyResolution"
ethereum:0x3baf168a54b4b166a92e973f39a6a9315552322d,D0032,2,SHARED_AUTHORITY_EOA,0x785bc2484a15dc9a8b644024fc142e8bca1289ae,0x8888880009de796bb0ff1183da697b5ec859659d,EOA,RescueExecutor;RescueExecutor.sol;RescueExecutor.sol:RescueExecutor,F00054:0.590022;F00110:0.589440;F00978:0.584229;F00704:0.581081;F00723:0.566557,,"https://eth.blockscout.com/api/v2/addresses/0x3baf168a54b4b166a92e973f39a6a9315552322d;https://eth.blockscout.com/api/v2/smart-contracts/0x3baf168a54b4b166a92e973f39a6a9315552322d;https://etherscan.io/address/0x3baf168a54b4b166a92e973f39a6a9315552322d;https://etherscan.io/tx/0x0cb4b376f726d3cc6723beccc13b294e62de789bacb91a855d19b0421aa0c1c4;https://sourcify.dev/server/v2/contract/1/0x3baf168a54b4b166a92e973f39a6a9315552322d?fields=compilation,proxyResolution"
ethereum:0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405,D0033,1,SINGLETON_NO_MUST_LINK,0xe633029456b27d686dba5dcf44e3c6dc374cb84c,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,,,,"https://eth.blockscout.com/api/v2/addresses/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405;https://eth.blockscout.com/api/v2/smart-contracts/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405;https://etherscan.io/address/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405;https://etherscan.io/tx/0x1bd0fe040bde23b866181df70d5a5c6920c2df766aaca891b66b22d277559c61;https://sourcify.dev/server/v2/contract/1/0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405?fields=compilation,proxyResolution"
ethereum:0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245,D0034,1,SINGLETON_NO_MUST_LINK,0xeba54d59cbc6a7b54a5875769e9c343342099c88,0xeba54d59cbc6a7b54a5875769e9c343342099c88,EOA,,F00821:0.451937,,"https://eth.blockscout.com/api/v2/addresses/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245;https://eth.blockscout.com/api/v2/smart-contracts/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245;https://etherscan.io/address/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245;https://etherscan.io/tx/0x7c9b1cb944153eeeee52643874f87fa8018e25976756cd7fc44b709d3f9dd1dc;https://sourcify.dev/server/v2/contract/1/0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245?fields=compilation,proxyResolution"
ethereum:0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1,D0035,2,SHARED_DEPLOYER_EOA,0x1c89baa87332a7d986bddc0e439f883f85b42c70,0xe8b5bb3520ac6d39347dd0d40492906e2174df8d,EOA,,F00072:0.556622;F00213:0.514530;F00039:0.501684,,"https://eth.blockscout.com/api/v2/addresses/0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1;https://eth.blockscout.com/api/v2/smart-contracts/0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1;https://etherscan.io/address/0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1;https://etherscan.io/tx/0x0144fc54775ae24850fab993f8b9f8c12e654256cb1d269c10783359af63f265;https://sourcify.dev/server/v2/contract/1/0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1?fields=compilation,proxyResolution"
ethereum:0x436f98879a8abec170933d6c5fd23423dcac93d9,D0036,1,SINGLETON_NO_MUST_LINK,0xb14d31431d97baa4ce687e6a15cbaec363c2ec35,0xb14d31431d97baa4ce687e6a15cbaec363c2ec35,CONTRACT,,F00465:0.560907;F00023:0.506925,,"https://eth.blockscout.com/api/v2/addresses/0x436f98879a8abec170933d6c5fd23423dcac93d9;https://eth.blockscout.com/api/v2/smart-contracts/0x436f98879a8abec170933d6c5fd23423dcac93d9;https://etherscan.io/address/0x436f98879a8abec170933d6c5fd23423dcac93d9;https://etherscan.io/tx/0x9ef1539938bebfad1da5f49fffa28e74baf4e815beda3a2d0fa13078f85a7eee;https://sourcify.dev/server/v2/contract/1/0x436f98879a8abec170933d6c5fd23423dcac93d9?fields=compilation,proxyResolution"
ethereum:0x438f67c2aa7ff150352295dcb190c19fb6672ad5,D0037,1,SINGLETON_NO_MUST_LINK,0xfec001c6d285584ed45a7ee5a8c4684a522211f6,0xba5ed099633d3b313e4d5f7bdc1305d3c28ba5ed,CONTRACT,AuthorizedExecutor;project/contracts/EIP7702/AuthorizedExecutor.sol;project/contracts/EIP7702/AuthorizedExecutor.sol:AuthorizedExecutor,,,"https://eth.blockscout.com/api/v2/addresses/0x438f67c2aa7ff150352295dcb190c19fb6672ad5;https://eth.blockscout.com/api/v2/smart-contracts/0x438f67c2aa7ff150352295dcb190c19fb6672ad5;https://etherscan.io/address/0x438f67c2aa7ff150352295dcb190c19fb6672ad5;https://etherscan.io/tx/0x7620031f0298f5adb3c04ce095b062d14f84d5fc60a5928a777228bea3a34ea7;https://sourcify.dev/server/v2/contract/1/0x438f67c2aa7ff150352295dcb190c19fb6672ad5?fields=compilation,proxyResolution"
ethereum:0x442f107801f03ce47c08bae0f8efcac84c28e0b6,D0038,1,SINGLETON_NO_MUST_LINK,0x0dee571e14ea69a6bc625cd2b1fd3d67eda9fba3,0x0dee571e14ea69a6bc625cd2b1fd3d67eda9fba3,CONTRACT,,,,"https://eth.blockscout.com/api/v2/addresses/0x442f107801f03ce47c08bae0f8efcac84c28e0b6;https://eth.blockscout.com/api/v2/smart-contracts/0x442f107801f03ce47c08bae0f8efcac84c28e0b6;https://etherscan.io/address/0x442f107801f03ce47c08bae0f8efcac84c28e0b6;https://etherscan.io/tx/0x4a85ca01aa32ef5071bd839b038d3a23e7d7f91529e9f46d895a567f622d5763;https://sourcify.dev/server/v2/contract/1/0x442f107801f03ce47c08bae0f8efcac84c28e0b6?fields=compilation,proxyResolution"
ethereum:0x49293098877b6f2e0e5a6178593f3197b169123c,D0039,4,SHARED_DEPLOYER_EOA,0x8b25ecf45d6533dde52361a858590f4a96958265,0xbd43bd6b25e80310869a56d4e395026b8256dd2a,EOA,,,,"https://eth.blockscout.com/api/v2/addresses/0x49293098877b6f2e0e5a6178593f3197b169123c;https://eth.blockscout.com/api/v2/smart-contracts/0x49293098877b6f2e0e5a6178593f3197b169123c;https://etherscan.io/address/0x49293098877b6f2e0e5a6178593f3197b169123c;https://etherscan.io/tx/0x4e60cfa49927c319f358977540645e98147c7eed34c45877b3cfe76ce95be1b1;https://sourcify.dev/server/v2/contract/1/0x49293098877b6f2e0e5a6178593f3197b169123c?fields=compilation,proxyResolution"
