item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0x0e980bc81314178679618c97f982a29999999999,D0014,1,0x9583bdaa13a4d1641ef8db97b96170655ce81754,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x1000000000a6e3b8367e006089243cb67f08523f,D0015,1,0x088545e4a80b15536785f9e130ffc7d237ff0226,0x0000000000ffe8b47b3e2130213b802212439497,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x145422173bdcdad12c2ee7b202cbc0655bb9f3ab,D0016,1,0xb59e6d31dd9d2c38b5b1bbfe019be46800b917bf,0xa002e30c05cf837000a4881e2130a4989599b0c4,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x1768774c969070f8f6f7ad198c7919cdfcb0c282,D0017,1,0x8b106543ed02af231f3a2b78bfa52e8ad4c18120,0x782c4a946c94137237c3dd19e7d390c50ef7afef,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x1ae5084bc47dc47d5aaee5d449436f13dbf74cfc,D0018,1,0x3cee97615c91bd41eea4392a939612abe5809a71,0xce7b958e1259003d6657de01a7ef2f0d6171351c,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x1fefc17c59d15d03bcc421c517e4f7bd97d4af3e,D0019,4,0xdbfc765d5e9e73d4381caf9e40e91427b85c4073,0x34f41c98898ed0c2f7d004538a7cbde33b35404f,EOA,SHARED_DEPLOYER_EOA
ethereum:0x21fa706a418864eadce19afd2791a178f4b3485e,D0020,1,0x4659362bb53d0d7c97c136753ba512dadfe2467b,0x4659362bb53d0d7c97c136753ba512dadfe2467b,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x2370e974410a31a453187a019e3ea8b65c959d32,D0021,1,0x52d892bc11e9755f924a1db0aa6981c7650b824f,0xf1e7a08e7641ad5aac9cbff91f0f803e243d101d,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x23a712d44df46bc48ce3481edd843730c8bb32c4,D0006,3,0xd5adabc8f98a485c8efa50599afbe926b3e6dd49,0xbbafac01b4c0194c9a4d49bd389420b2b30a97e7,EOA,SHARED_AUTHORITY_EOA
ethereum:0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988,D0022,1,0x3d6ebea8e5dd4c23076bcb80d960a3692f9a487a,0xeaaebeb57dc88fd25adee72711538af0c6a9ac6e,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x26c2c4787804bb155a6be1363ab2e6cab59064da,D0023,2,0x10876beca4254a18dce684cfabdabff926fed391,0x5aba7101e1ebc788394e907eae3f17930b03c97d,EOA,SHARED_DEPLOYER_EOA
ethereum:0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776,D0024,1,0xc23b7873424fda81d3ccaf8e9e1c45e507973727,0x80f8834e8a5512cd3099ea2b29e0c804755fd693,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7,D0025,1,0x801611884d56a8bb5a3d3acea36e29ae3ab555dc,0xe342b094d684e6d17ba127ae6eadf613de736554,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x2a088149132c101f8120d157e9f34a172efab61f,D0026,1,0x51c9e514be9fbb20d810a83f1859819a51fdd26d,0x88027bccadc2fa4dee4743e91516248d414f8a68,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x30449798e61510b197b54238fa19470a72be46f5,D0023,2,0xc482715f77ee36965e360b16948fcf89d715b5e3,0x5aba7101e1ebc788394e907eae3f17930b03c97d,EOA,SHARED_DEPLOYER_EOA
ethereum:0x329088afe1d91132e2a51d1d46e9b24574577126,D0027,1,0xa94bc3f832474380541f73d1fe117abf8325048e,0xa94bc3f832474380541f73d1fe117abf8325048e,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x3358e64ecf49e91f123e84423c0d6895d424e6a7,D0028,1,0xd0b8085d87718f68e0fcf080e370c7bb3cbc7dea,0x83c54206ff0bf5a45fe91fb695fcf498b15bde2d,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x34002caafaebd7ce17a2c424b014ff60f844c0fc,D0019,4,0x4de23f3f0fb3318287378adbde030cf61714b2f3,0x17f79e70ae89c6e32a9244d3d57b7aa648246468,EOA,SHARED_AUTHORITY_EOA
ethereum:0x36280ec8753946132af9928da91bc1f204431eb5,D0029,1,0x2ebefc8a26ec6dac13b2e4f66a66380c5a683f32,0xa2356989751a2580f41f944a4f6e26581a8ad68f,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x37e406f223c79715fb76402b742c55d7fdb73479,D0030,1,0xcd0ba0e03cf78a3aa9e2b8fd7200d4607e0ea208,0xcc399f359f02938f21ed8d5778cd72388adbfc2d,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x3ac5f265b93c63014534893c0b6300ddfc5d2ebe,D0031,2,0xfa23abfc059d8f6c5909fb4a6f8e6170d2a6f75e,0x9450c13261fd10aa070adb92d1a91c7080d944ef,EOA,SHARED_AUTHORITY_EOA
ethereum:0x3baf168a54b4b166a92e973f39a6a9315552322d,D0032,2,0x785bc2484a15dc9a8b644024fc142e8bca1289ae,0x8888880009de796bb0ff1183da697b5ec859659d,EOA,SHARED_AUTHORITY_EOA
ethereum:0x3da1dd1b73ebe40141ad1b51a1ce810d2fba1405,D0033,1,0xe633029456b27d686dba5dcf44e3c6dc374cb84c,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x3e840c7ed28cee640a6c604d0b8ac9d3b8017245,D0034,1,0xeba54d59cbc6a7b54a5875769e9c343342099c88,0xeba54d59cbc6a7b54a5875769e9c343342099c88,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x3fc77ac54dc5b7aa4ee77cf23f2e53400df366f1,D0035,2,0x1c89baa87332a7d986bddc0e439f883f85b42c70,0xe8b5bb3520ac6d39347dd0d40492906e2174df8d,EOA,SHARED_DEPLOYER_EOA
ethereum:0x436f98879a8abec170933d6c5fd23423dcac93d9,D0036,1,0xb14d31431d97baa4ce687e6a15cbaec363c2ec35,0xb14d31431d97baa4ce687e6a15cbaec363c2ec35,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x438f67c2aa7ff150352295dcb190c19fb6672ad5,D0037,1,0xfec001c6d285584ed45a7ee5a8c4684a522211f6,0xba5ed099633d3b313e4d5f7bdc1305d3c28ba5ed,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x442f107801f03ce47c08bae0f8efcac84c28e0b6,D0038,1,0x0dee571e14ea69a6bc625cd2b1fd3d67eda9fba3,0x0dee571e14ea69a6bc625cd2b1fd3d67eda9fba3,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x49293098877b6f2e0e5a6178593f3197b169123c,D0039,4,0x8b25ecf45d6533dde52361a858590f4a96958265,0xbd43bd6b25e80310869a56d4e395026b8256dd2a,EOA,SHARED_DEPLOYER_EOA
ethereum:0x4ae24b0edee921d4cc4763efdff1662ae4972f1a,D0040,1,0xaae04a208985401025297e953f4adc78a6917bdb,0xdead8f0b9a3399487399189e1ab8de027b20dead,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x50055dc4c85b0c1f6ec8fe34b16aa059ec297896,D0041,1,0x6c8ecaaac5bdaca27e2a236ca1832ce358a3e5d2,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x508df091b860386c283dffd7fd74d1fa8f99ec36,D0042,1,0x504cb19eab63590879efd8e6c64e05e378619b17,0x2689dec7f57719c997268062b046cb0d016eb30a,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x528a52d95aeb693b409b11381d48cb0a9e515f14,D0043,2,0x4c0b4c8e618268b16af1996455996f6550abac6b,0x4c0b4c8e618268b16af1996455996f6550abac6b,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0x532fe05a23c1f9fe1e93ae63f5b99253b2480931,D0044,2,0x0cc89544042aa792e50c4f24660828627762ecfe,0x1c83e9a7b032f703c629b0006c40290ddc68bd1f,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x53812282aa0e79e790a0758eb2395e9ecaa2ec90,D0045,1,0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8,0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x56ae8cfa557f2823adbb962ed72f1757247a35ab,D0046,1,0xbef6d7f8d11e311f68c1c50396d3724a8cea77e2,0x950971b30014a309408bdc584e4d49c38b918e38,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x575bb2c1d0f74e9d75713b2cdeaf826356ada3d2,D0047,2,0x51d2d99b86d0d38e41ff2997e4e8fe942d567a97,0x76d54f4cc560f0bd2b3fa84eb467efd84c272e5c,EOA,SHARED_DEPLOYER_EOA
ethereum:0x57832717d0f671c17c79bd0ad23f05a5b1a65270,D0013,2,0x5949ab23c1332234cbd15a90bc63bef8151166ea,0x810b0cfd3efc3006e8819a2f96225be6a228b752,EOA,SHARED_AUTHORITY_EOA;SHARED_DEPLOYER_EOA
ethereum:0x5844a543986b7a5e6d2da9b1a68d462227fe0ebb,D0048,1,0x2a98a77dd508c0ccb427f4476243263c4db81248,0xb9f35bac68a6115efe5776bac4bef8de4b4fd46b,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x591420a265e2e796c22e1264237eb1456679cd7f,D0049,1,0x87ae845c2206d51b3313f0df3b20deac0b6a7676,0xeb180ae0fa1bdfd72cecd67709e7ad6474c31368,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5972fb985276f061e6ae9ef78a789b8ed089cbd0,D0050,1,0xcdc1f76ef38a912bb05c8ad268fc02ccdac9d024,0x0005bb7a3bf95a6f77a87af5e9cd85cd57e2ab07,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5a7fc11397e9a8ad41bf10bf13f22b0a63f96f6d,D0051,1,0x17ba1f293d1a180ec5ce255c7f3be30195e78b3e,0xce0042b868300000d44a59004da54a005ffdcf9f,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x5a85f443b34b079d2065ceb6289f02aadae7b041,D0052,1,0xb0e1fdb4b907674cb7898f83de62810c9a1315cf,0xb0e1fdb4b907674cb7898f83de62810c9a1315cf,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x5ad18e609d9fcc75bce67b8fb8e9f033af9fdd16,D0053,1,0xdf27c3f2a16dc339e2c9a2a787651cce3f5f74eb,0x5a4be146ba1fd4a2bbd265db2f1a3a3cf7b77236,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5c3ffa4e5d044ece95cd2136b11ba8e19cf2e315,D0054,1,0xbff4b0df28b60ae663e6fd4ee9ba7eee4649557b,0x1bc4d4848d7f72efba4200b7dc5ca8ec686cf0fb,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5c7fc9439fd67cbcc3cfd61917c5953847f342f1,D0055,1,0x87e3a1148e4dc887fb76978f4f5982254c5a2895,0x16b3ebfc7c5d7385e7f8bdfd3d6dd5c999835536,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5e9743bb24e0882e2e2516afa617b6f6c71634ef,D0056,1,0x7d79bd0e4b3dc90665a3ed30aa6c6c06c89d224e,0xd6309d958328352620b8856c0b08bd64c82244d2,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x5f9958c407da8884ae677bf63c4b07e3fe517c0f,D0057,1,0xbffbb7401a4b0ae571bb69dd3b94efa2528a2981,0xbffbb7401a4b0ae571bb69dd3b94efa2528a2981,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0x6214f1224ef2aca4bf63c4ef880564872dd83f30,D0058,1,0x9ae318d8aab42091b5e5aef17f96c29bf27f3582,0x000000104551469868bb70b231d6cfff35e43826,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x6497cc0960f9c17cca1d31db8ec3c2b1c3d23c83,D0059,1,0x5479a5ac1e673b8e05f40550f100abd29423722a,0x82b008936a0beb5f7c15b63a2c20fb82becec278,EOA,SINGLETON_NO_MUST_LINK
ethereum:0x6740cbafec96ffb02d9b4bce85fcf8994388e0ee,D0060,1,0xffdbb0182d0888e076d404af74c84966906de1b0,0xe921103af3526bf92f55ea622bd347a10f3e37c4,EOA,SINGLETON_NO_MUST_LINK
