model,sample_id,clean_token_count,flood200_token_count,budget,exceeds_budget
flat_cnn_2048,ethereum:0xf34dc139d91320a58f18245d742f694e83cd4d68,1068,3625,2048,True
flat_cnn_2048,ethereum:0xf916aa0e33e4b26b7671b46e4bfce1389a9ae180,187,716,2048,False
flat_cnn_2048,ethereum:0xf67ce7d600bfed7ac9ddb85d082a873633c6eb64,2109,6662,2048,True
flat_cnn_2048,ethereum:0x5eda019df70bfcbe53e33ea40077c6ee63386301,1926,6404,2048,True
flat_cnn_2048,ethereum:0x3b76b2e000697c168ada827bbdc303dd0acf80d8,2030,5282,2048,True
flat_cnn_2048,ethereum:0x3d560dad46fbcb746ca145fd4e065ac0af7991ca,3038,8536,2048,True
flat_cnn_2048,ethereum:0x20f7837aa2078e5455506c9185a5f7200ff32608,1910,6171,2048,True
flat_cnn_2048,ethereum:0x066ae77a4bd9ff6bbbfc1c4330d71c9957224b08,1856,5612,2048,True
flat_cnn_2048,bnb:0xdc51ffb83fa7f50eae82269fb282e63feecd6fdd,1456,4851,2048,True
flat_cnn_2048,bnb:0x307a7cf5b1e6e55e6060a68939cfc352c6742a43,1926,5376,2048,True
flat_cnn_2048,bnb:0xda77f053c1ee9d2901c9cbe69da98c58fed45465,896,3001,2048,True
flat_cnn_2048,bnb:0xa9b1296efce1404b88acc18d0ff2c88831ecdbf2,888,2420,2048,True
flat_cnn_2048,bnb:0x6db6dc43ad9d9a98d995c343af1e818ed71fa380,1053,3400,2048,True
flat_cnn_2048,bnb:0x611652ff9caa7f1ef6c2b76da2d4d8ed7c565a77,446,1547,2048,False
flat_cnn_2048,bnb:0x88700edf44cc2b0d7b7a4c6e76e96566b247e42e,1082,3365,2048,True
flat_cnn_2048,bnb:0x32f66e05d98fe6a15216f6219f414a4a76d84d7a,1799,4195,2048,True
flat_cnn_2048,bnb:0x6585c153881af96f603fce649534a14a73acc04f,1926,6339,2048,True
flat_cnn_2048,bnb:0x38c401c978f047e689980da3fb884925575e39a5,1926,5812,2048,True
flat_cnn_2048,bnb:0x71763c17539c9fd1a03aea4b663280d0aba2b54e,819,2537,2048,True
flat_cnn_2048,bnb:0xe3efd49fda6027ec440d35aabb63fa719582c5b9,728,2420,2048,True
flat_cnn_2048,bnb:0xa4d3ba32d2dcdc49af4e1f220707a5023cb93e9e,725,1988,2048,False
flat_cnn_2048,bnb:0x5a610ddf877f986dfb47f5371aaf15c5914580f5,325,826,2048,False
flat_cnn_2048,bnb:0xebad31cfd57a019c87b93cb28427be5ec384d022,1074,2866,2048,True
flat_cnn_2048,bnb:0x5aa3249939dfb69589ae5beabbbf89fe7c7d70f0,872,2946,2048,True
flat_cnn_2048,bnb:0x895013bd5e4dec7df9ac9aa3d56e3764c625bdf3,468,1207,2048,False
flat_cnn_2048,bnb:0x0b9bbce087a6908f5f5e0a79f45055c3e8a84b33,395,1193,2048,False
flat_cnn_2048,bnb:0xd2dd1f0f47983007741a3665922218988a4aa323,1918,6369,2048,True
flat_cnn_2048,bnb:0x35e1cfac4db5ed6c43d264f5ac13420ff62bb7e8,229,655,2048,False
flat_cnn_2048,bnb:0xd51d2e6c8f3adf188cb71025226a3a12ef490f41,1926,5709,2048,True
flat_cnn_2048,bnb:0x6058ca7c42ffe46bc07208dc58a2ff7f772f24d9,715,2161,2048,True
flat_cnn_2048,bnb:0x9b5a419dfa37301323062aefe9e570a1231e8168,824,2730,2048,True
flat_cnn_2048,polygon:0x9da0b102317bae7d61588510c699f3a4e387e7db,468,1698,2048,False
flat_cnn_2048,polygon:0xbae7cebaa80fb48647a5921c3ff91b8b1d341a11,468,1503,2048,False
flat_cnn_2048,polygon:0x895013bd5e4dec7df9ac9aa3d56e3764c625bdf3,468,1554,2048,False
flat_cnn_2048,polygon:0x32ab10ebca6121659e41d7caa364147d87ebd74e,468,1319,2048,False
flat_cnn_2048,polygon:0xcedb9f87a3cd62e343c54722ca60053428c32362,468,1417,2048,False
flat_cnn_2048,polygon:0xff02bb0a44881b8496b932d0a2c1fce0e206c88d,468,1468,2048,False
flat_cnn_2048,polygon:0x3a039346452abc1167bcb05a4dea2f467fcdce4d,468,1526,2048,False
flat_cnn_2048,polygon:0x2ffe7657665bb3ac0ea5535cae90848ab5c96e30,468,1572,2048,False
flat_cnn_2048,optimism:0xd924ac02bc01c633d097f52b5cecb8e0eb11fcc0,1179,3759,2048,True
flat_cnn_2048,optimism:0x0d814d383109d7de13faf87c37de001d4250cfe3,611,1489,2048,False
flat_cnn_2048,optimism:0xeb5bd3d87bdf15a8d618af50e1ed0da020d6cdb8,1179,3159,2048,True
flat_cnn_2048,optimism:0x560ecd3352a484df453896f0e2b9f36b6bfd014f,1680,4259,2048,True
flat_cnn_2048,optimism:0x07da0676ecfbc565dfe1c7ced7ded914df07a97a,1599,5286,2048,True
flat_cnn_2048,optimism:0xe6cae83bde06e4c305530e199d7217f42808555b,1467,6026,2048,True
flat_cnn_2048,optimism:0x41b5bc7405485e96170e5a39333097b1eea4adf7,1166,3580,2048,True
flat_cnn_2048,optimism:0x05e3695d4aff3a53e85eb28099760ab4dfe5f3ef,2860,9814,2048,True
flat_cnn_2048,optimism:0xea8a191d40483e1c9918937453f42e2e1af63fd6,1934,5203,2048,True
flat_cnn_2048,optimism:0xe6110f19ff2d645699047721cd391f174d846f61,1928,5264,2048,True
flat_cnn_2048,optimism:0xab747decdd1c51c3abea8a8c91ea4e4a089abe8e,3802,10805,2048,True
flat_cnn_2048,optimism:0xae835d5b41e9c4fa415ce5e579365555aa60f3d9,147,343,2048,False
flat_cnn_2048,gnosis:0xab747decdd1c51c3abea8a8c91ea4e4a089abe8e,3802,9569,2048,True
flat_cnn_2048,gnosis:0xe6cae83bde06e4c305530e199d7217f42808555b,1467,5896,2048,True
flat_cnn_2048,gnosis:0x6c0ca246dda3ef35ee79862cac0c5a59baa34116,2846,7886,2048,True
flat_cnn_2048,gnosis:0x387e4bda692aa4c9b4147c9a3c2ee8c7c846a8af,1967,5831,2048,True
flat_cnn_2048,gnosis:0x762145d7f7ad0a02d02be46960a6fb68cb434be8,1680,4904,2048,True
flat_cnn_2048,arbitrum:0x111111677601ec955b89f68c2e4399ddb5a46f39,84,324,2048,False
flat_cnn_2048,arbitrum:0x1a24d3e6633c1f32026c04d07c04b7da5a3afcad,1921,4818,2048,True
flat_cnn_2048,arbitrum:0x4cd241e8d1510e30b2076397afc7508ae59c66c9,1459,5189,2048,True
flat_cnn_2048,arbitrum:0xf82cf2319708ebfcbbf2b804d2d722782c3ff951,2294,5666,2048,True
flat_cnn_2048,arbitrum:0xf25dee892bbe78c22565ee85f932524c28cdc27a,2292,6819,2048,True
