task,model,seed,fold,threshold,splitter,split
primary,opcode_xgb,7702,0,0.26489293575286865,StratifiedGroupKFold,random
primary,opcode_xgb,7702,1,0.05204262211918831,StratifiedGroupKFold,random
primary,opcode_xgb,7702,2,0.15584921836853027,StratifiedGroupKFold,random
primary,opcode_xgb,7702,3,0.20572832226753235,StratifiedGroupKFold,random
primary,opcode_xgb,7702,4,0.15701813995838165,StratifiedGroupKFold,random
primary,opcode_xgb,7703,0,0.1652648150920868,StratifiedGroupKFold,random
primary,opcode_xgb,7703,1,0.1357540488243103,StratifiedGroupKFold,random
primary,opcode_xgb,7703,2,0.1452297419309616,StratifiedGroupKFold,random
primary,opcode_xgb,7703,3,0.0279872827231884,StratifiedGroupKFold,random
primary,opcode_xgb,7703,4,0.17922024428844452,StratifiedGroupKFold,random
primary,opcode_xgb,7704,0,0.1945871263742447,StratifiedGroupKFold,random
primary,opcode_xgb,7704,1,0.1778123378753662,StratifiedGroupKFold,random
primary,opcode_xgb,7704,2,0.12031979858875275,StratifiedGroupKFold,random
primary,opcode_xgb,7704,3,0.09764701873064041,StratifiedGroupKFold,random
primary,opcode_xgb,7704,4,0.09893720597028732,StratifiedGroupKFold,random
primary,opcode_xgb,7705,0,0.08023020625114441,StratifiedGroupKFold,random
primary,opcode_xgb,7705,1,0.1366344541311264,StratifiedGroupKFold,random
primary,opcode_xgb,7705,2,0.326692134141922,StratifiedGroupKFold,random
primary,opcode_xgb,7705,3,0.13940563797950745,StratifiedGroupKFold,random
primary,opcode_xgb,7705,4,0.22575382888317108,StratifiedGroupKFold,random
primary,opcode_xgb,7706,0,0.18982094526290894,StratifiedGroupKFold,random
primary,opcode_xgb,7706,1,0.35109028220176697,StratifiedGroupKFold,random
primary,opcode_xgb,7706,2,0.1799614578485489,StratifiedGroupKFold,random
primary,opcode_xgb,7706,3,0.1488846093416214,StratifiedGroupKFold,random
primary,opcode_xgb,7706,4,0.18620212376117706,StratifiedGroupKFold,random
primary,selector_model,7702,0,0.19910775125026703,StratifiedGroupKFold,random
