sid,method,sequence,preservation_oriented,calldata,comparable,behavior_equivalent,structural_valid,byte_overhead,same_failed,same_return,same_calls,same_call_count,same_sstore,same_logs,same_opcount
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,M3,M3,False,2e1a7d4d,True,False,True,0.1984836997725549,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,M3,M3,False,32fe7b26,True,False,True,0.1984836997725549,True,False,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,M3,M3,False,3ccfd60b,True,False,True,0.1984836997725549,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,M3,M3,False,3fc8cef3,True,False,True,0.1984836997725549,True,False,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,M3,M3,False,414bf389,True,False,True,0.1984836997725549,True,True,False,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,00000000,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,095ea7b3,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,1d073a7a,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,2be11ae2,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,2e1a7d4d,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,32fe7b26,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,3ccfd60b,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,F200,F200,True,3fc8cef3,True,True,True,1.9840788476118272,True,True,True,True,True,True,True
