model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
dense_only,7703,3,3.178792953491211,0.8799509453348527,0.9058047437118655,0.8698055895546448,0.6208409135223931,0.4940543622680324,0.8061174898244334,0.16198307813423105,0.11827956989247312,0.00847457627118644,0.45161290322580644,0.10734463276836158,0.7096774193548387,0.1694915254237288
ngram_only,7703,3,3.8044426441192627,0.8967358658129692,0.840177334897916,0.5932700775839782,0.36405392897292743,0.865238421532771,0.9654941984083593,0.07479885595795009,0.3118279569892473,0.00847457627118644,0.7634408602150538,0.0423728813559322,0.946236559139785,0.13559322033898305
flat_cnn,7703,3,1.6278351545333862,0.9546424903534116,0.9134404327367105,0.7756926871934712,0.4239666837097128,0.8296840517303544,0.9468136808213352,0.07527252205800582,0.34408602150537637,0.005649717514124294,0.46236559139784944,0.02824858757062147,0.8064516129032258,0.07344632768361582
bigru,7703,3,3.586974859237671,0.7206967037100527,0.8326847920183043,0.7822957975850703,0.7028537011211909,0.39304948337380435,0.7217362250167062,0.21257749235415663,0.07526881720430108,0.014124293785310734,0.21505376344086022,0.13559322033898305,0.44086021505376344,0.17796610169491525
transformer,7703,3,3.2587697505950928,0.813913056958267,0.8887970693864193,0.8148828046309042,0.7071236480050079,0.5363743302036319,0.8042646254784034,0.15512830643686082,0.021505376344086023,0.00847457627118644,0.23655913978494625,0.03389830508474576,0.4946236559139785,0.07344632768361582
authguard_seq,7703,3,1.7255311012268066,0.9864234800757481,0.9080248209217185,0.7173071421926007,0.027256455700378785,0.9535585043857348,0.9794362432416014,0.020428960584326316,0.7096774193548387,0.005649717514124294,0.946236559139785,0.005649717514124294,0.978494623655914,0.20903954802259886
hist_ngram_xgb,7703,4,3.596757173538208,,0.5850614882986067,0.33011954726983483,0.2959861776477048,0.8844764154832307,0.9364537222209739,0.14012265731785406,0.5235602094240838,0.017167381974248927,0.8586387434554974,0.13733905579399142,0.9057591623036649,0.15021459227467812
dense_only,7703,4,6.853521347045898,0.5901433179313711,0.7257911119762039,0.6954951125372978,0.6296362609886366,0.7406644875280983,0.7796553041367997,0.20108867880452777,0.25654450261780104,0.03862660944206009,0.38219895287958117,0.08583690987124463,0.450261780104712,0.11587982832618025
ngram_only,7703,4,5.083167552947998,0.7247809950273438,0.7533732222549292,0.3311307495571889,0.20768530713636402,0.8838085474140792,0.9154888434487563,0.1376629121741935,0.24607329842931938,0.017167381974248927,0.7853403141361257,0.12017167381974249,0.8429319371727748,0.19742489270386265
flat_cnn,7703,4,3.8019278049468994,0.7897569398611268,0.727503945688655,0.44392431475708094,0.407250340771657,0.9532723498612485,0.9715075388176078,0.08855098475896021,0.6073298429319371,0.008583690987124463,0.9581151832460733,0.10300429184549356,0.9685863874345549,0.13733905579399142
bigru,7703,4,0.4408544600009918,0.5806220794682836,0.787502648576888,0.7748413233415716,0.7330766926896382,0.6055050792982843,0.7366469676201605,0.21235853297531032,0.010471204188481676,0.017167381974248927,0.06282722513089005,0.04291845493562232,0.17277486910994763,0.14163090128755365
transformer,7703,4,1.4759926795959473,0.8076321390857378,0.9116191132041842,0.7220865953119961,0.5444342581334242,0.7221316893859717,0.7913623800642653,0.20874914671813627,0.13612565445026178,0.017167381974248927,0.38219895287958117,0.0815450643776824,0.4607329842931937,0.19313304721030042
authguard_seq,7703,4,3.470149278640747,0.7447338123920162,0.8078077177391473,0.5151035052293895,0.2762307492924332,0.9671122519658806,0.9776194863267644,0.07470642305010478,0.581151832460733,0.012875536480686695,0.8534031413612565,0.060085836909871244,0.9790575916230366,0.07725321888412018
hist_ngram_xgb,7704,0,2.4203779697418213,,0.7581486996386793,0.6279374241680524,0.37068568814125746,0.7705645719872121,0.8243488184747583,0.16083235375816482,0.28289473684210525,0.006802721088435374,0.375,0.006802721088435374,0.5,0.047619047619047616
dense_only,7704,0,5.399067401885986,0.6589666770214007,0.8079767347338436,0.757254622580439,0.6867681323477866,0.5451855283348039,0.6430473505191551,0.21250135081573884,0.013157894736842105,0.003401360544217687,0.18421052631578946,0.04081632653061224,0.29605263157894735,0.061224489795918366
ngram_only,7704,0,3.6574668884277344,0.7983979048792136,0.810819264837761,0.5340592169113505,0.2090928256481872,0.637759853973245,0.67327918009309,0.2044763786330108,0.046052631578947366,0.003401360544217687,0.25,0.017006802721088437,0.3684210526315789,0.06462585034013606
flat_cnn,7704,0,1.882644772529602,0.9040169424735084,0.9151421690935446,0.7099990885703487,0.6472519832375174,0.8437211258506887,0.9100541532402434,0.13108887772055333,0.42105263157894735,0.01020408163265306,0.5460526315789473,0.034013605442176874,0.5592105263157895,0.05102040816326531
bigru,7704,0,1.987740397453308,0.8163051201944493,0.8666328441192244,0.7297139411593532,0.5613314691768051,0.9035829458325848,0.9402300393841747,0.08613504125469613,0.20394736842105263,0.003401360544217687,0.3881578947368421,0.006802721088435374,0.5855263157894737,0.034013605442176874
transformer,7704,0,2.2736222743988037,0.5521178124037718,0.6579620365319392,0.5715252887521356,0.5253885177588977,0.5856955641220228,0.7663019155030435,0.17972137212256448,0.02631578947368421,0.0,0.17763157894736842,0.15306122448979592,0.6118421052631579,0.19047619047619047
authguard_seq,7704,0,2.5214924812316895,0.9527717430912176,0.9089341127033299,0.8584403883112666,0.753150419582707,0.8952258719355506,0.9637150912996777,0.07027261905314362,0.3223684210526316,0.013605442176870748,0.5263157894736842,0.04421768707482993,0.9539473684210527,0.06802721088435375
