model,condition,seed,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
chunk_attention_control_2048,M0,7702,0.9047738638285912,0.9158980050562102,0.07659417975306887,0.5687617708371476,0.01740827186937761,0.8227709083336501,0.06286521198698777,0.8625039659933702,0.11163810063723897
chunk_attention_control_2048,M0,7703,0.8978358868485016,0.9253497380791067,0.08192681384550285,0.5559244859656892,0.01763016827587578,0.8001462949864336,0.055494773354042126,0.873755910227661,0.11248936072295376
chunk_attention_control_2048,M0,7704,0.9046212758807247,0.9233282899990813,0.07625817525250997,0.6018362274033908,0.01694989616703224,0.854613288474599,0.0613646451453301,0.8786559139435042,0.09432138957030092
chunk_mean_control_16384,F200,7702,0.7086527012715587,0.8240233094022187,0.1814883497897954,0.037117138103807415,0.0017167381974248926,0.2927880152440523,0.026840196410489615,0.4108029075165985,0.0753909579482403
chunk_mean_control_16384,F200,7703,0.7548838819839496,0.8418565677841212,0.17315076043311853,0.0305770299336477,0.002127659574468085,0.29884637124274915,0.029558731834205477,0.531192173539067,0.09002801890285714
chunk_mean_control_16384,F200,7704,0.7205634266935348,0.8278104198413546,0.19759749853299727,0.0273492167950816,0.0007092198581560283,0.2296053086839384,0.023732048202350982,0.41217646882941067,0.049124529134492514
chunk_mean_control_16384,M0,7702,0.8763825134574242,0.8945520907369483,0.11021434170623667,0.467716369693891,0.02479529903459877,0.8054175738721975,0.09157720886651852,0.8542351838592734,0.13328318973327125
chunk_mean_control_16384,M0,7703,0.886323171664985,0.9128505155370394,0.0844207849400396,0.42614403874216145,0.015701974845275524,0.8376650622520483,0.08240132854734195,0.8962039989455342,0.11352165157196419
chunk_mean_control_16384,M0,7704,0.8742540165711326,0.8994212646254317,0.10273116503090389,0.35078198660074095,0.016155754937118454,0.73220250880265,0.06460791484362652,0.8610348198843802,0.10518836653401387
flat_control_16384,F200,7702,0.8292423040196827,0.8848544726843377,0.1435109065882032,0.16682881181935844,0.00350354609929078,0.468161216503978,0.0255689878910198,0.6367614587197458,0.08170525941564397
flat_control_16384,F200,7703,0.7978576150598564,0.8491581956688709,0.16358489921428948,0.16755310648510896,0.009177304964539007,0.49220925390013337,0.051314396678903286,0.6343446472861386,0.1295710884401121
flat_control_16384,F200,7704,0.8030096458836896,0.8770149739839862,0.15949472774625204,0.18339135135110474,0.008472986240195797,0.5572772678849222,0.05350366410553734,0.6866168059179963,0.12908200072768414
flat_control_16384,M0,7702,0.93496258128134,0.9736223259677723,0.06428289409846404,0.4701169455976787,0.013492373156682783,0.7982461513270801,0.038343436881182504,0.8945090638003663,0.07983283139089978
flat_control_16384,M0,7703,0.9395639537754574,0.9746721906788183,0.05193180782245153,0.45435553606887397,0.01617520221493766,0.830965392930192,0.0568229644240963,0.9613319550926318,0.12117356346741393
flat_control_16384,M0,7704,0.9326206068819431,0.9692004263051139,0.0755189039436753,0.4788276431139263,0.014991018122160743,0.8555748049834133,0.06064898139646474,0.898385394552936,0.12524836268701867
flat_control_2048,F200,7702,0.5144144882463614,0.6621185070362852,0.23051359445579447,0.06144289258917872,0.0047487899595467465,0.1579522956665159,0.032807483769166264,0.21680132714040296,0.06737264257437744
flat_control_2048,F200,7703,0.5275090073933402,0.6555336471503606,0.2192207256118625,0.06635553136196179,0.0029860286731805312,0.12933577208347033,0.020153990423658324,0.16498934217507255,0.04191398654402398
flat_control_2048,F200,7704,0.5552535670513801,0.6682008265619569,0.2116508832234191,0.08079521072850586,0.005900556405559211,0.15711324513195798,0.027971325577075868,0.2787762842781455,0.08838858581000364
flat_control_2048,M0,7702,0.8720152692264301,0.9365552030493565,0.11096670114098535,0.3805398278814491,0.010481051642862687,0.6774998937795628,0.06826335429197132,0.7383439008759628,0.1004205695458622
flat_control_2048,M0,7703,0.8802171347430697,0.9349269173156424,0.10755297901696056,0.4369450000352633,0.012260734738603687,0.6497672825514953,0.04217718082003034,0.7144202184822094,0.06753653937395601
flat_control_2048,M0,7704,0.885125389036288,0.9403779287071231,0.09682207388185184,0.45028467114252724,0.024824367296000675,0.6474051282142365,0.05397053375179224,0.7874147533877063,0.0897709491384128
