model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
chunk_attention_control_16384,7704,2,M0,source_gt_2048,184,80,0.9790506488468994,0.9837740384615385
chunk_attention_control_16384,7704,2,M0,source_le_2048,243,65,0.9342613978122196,0.9760587726879861
chunk_attention_control_16384,7704,3,F200,source_gt_2048,139,32,0.9631281823648161,0.9783878504672897
chunk_attention_control_16384,7704,3,F200,source_le_2048,308,61,0.957225501550287,0.9730536935023562
chunk_attention_control_16384,7704,3,M0,source_gt_2048,139,32,0.9643799529423069,0.9745911214953271
chunk_attention_control_16384,7704,3,M0,source_le_2048,308,61,0.9618862904707629,0.9790933828897591
chunk_attention_control_16384,7704,4,F200,source_gt_2048,131,36,0.8862672454633893,0.9394736842105262
chunk_attention_control_16384,7704,4,F200,source_le_2048,293,155,0.973662840971533,0.9676484338475924
chunk_attention_control_16384,7704,4,M0,source_gt_2048,131,36,0.947109165960477,0.9831871345029239
chunk_attention_control_16384,7704,4,M0,source_le_2048,293,155,0.9868380123245601,0.9853903693314633
chunk_attention_control_2048,7702,0,F200,source_gt_2048,97,20,0.9144029232272939,0.9805194805194805
chunk_attention_control_2048,7702,0,F200,source_le_2048,349,132,0.7755828437542263,0.7987362100265326
chunk_attention_control_2048,7702,0,M0,source_gt_2048,97,20,0.9441835759269971,0.9857142857142858
chunk_attention_control_2048,7702,0,M0,source_le_2048,349,132,0.6956907786958125,0.6344958804636224
chunk_attention_control_2048,7702,1,F200,source_gt_2048,161,47,0.9220119918949257,0.9891750653228817
chunk_attention_control_2048,7702,1,F200,source_le_2048,285,99,0.9366567316249632,0.9523731943086783
chunk_attention_control_2048,7702,1,M0,source_gt_2048,161,47,0.8818600579931867,0.9234789100410601
chunk_attention_control_2048,7702,1,M0,source_le_2048,285,99,0.9376417904771176,0.9670359509069186
chunk_attention_control_2048,7702,2,F200,source_gt_2048,184,80,0.9621136749686414,0.9643028846153845
chunk_attention_control_2048,7702,2,F200,source_le_2048,243,65,0.9047668545667394,0.9458081244598099
chunk_attention_control_2048,7702,2,M0,source_gt_2048,184,80,0.9879360573820817,0.9915865384615384
chunk_attention_control_2048,7702,2,M0,source_le_2048,243,65,0.9593859492111184,0.9783059636992222
chunk_attention_control_2048,7702,3,F200,source_gt_2048,139,32,0.9724715945760236,0.9880257009345794
chunk_attention_control_2048,7702,3,F200,source_le_2048,308,61,0.9536204438451257,0.9735846552067432
chunk_attention_control_2048,7702,3,M0,source_gt_2048,139,32,0.9633287560706916,0.9842289719626168
chunk_attention_control_2048,7702,3,M0,source_le_2048,308,61,0.9818625070914183,0.9952213446605164
chunk_attention_control_2048,7702,4,F200,source_gt_2048,131,36,0.9028298677809863,0.9754385964912281
chunk_attention_control_2048,7702,4,F200,source_le_2048,293,155,0.9666973585032995,0.9747078073866292
chunk_attention_control_2048,7702,4,M0,source_gt_2048,131,36,0.9186670213456738,0.9779239766081871
chunk_attention_control_2048,7702,4,M0,source_le_2048,293,155,0.9680575588120284,0.9810425432445067
chunk_attention_control_2048,7703,0,F200,source_gt_2048,97,20,0.875658519040872,0.9655844155844155
chunk_attention_control_2048,7703,0,F200,source_le_2048,349,132,0.6882928081147561,0.677314620863008
chunk_attention_control_2048,7703,0,M0,source_gt_2048,97,20,0.8353283489495968,0.9474025974025975
chunk_attention_control_2048,7703,0,M0,source_le_2048,349,132,0.6816175250214821,0.662075827398408
chunk_attention_control_2048,7703,1,F200,source_gt_2048,161,47,0.9287249361768337,0.9736842105263157
chunk_attention_control_2048,7703,1,F200,source_le_2048,285,99,0.9327598791588421,0.961768219832736
chunk_attention_control_2048,7703,1,M0,source_gt_2048,161,47,0.9483391761225967,0.9854423292273236
chunk_attention_control_2048,7703,1,M0,source_le_2048,285,99,0.9275815151067476,0.9659498207885306
chunk_attention_control_2048,7703,2,F200,source_gt_2048,184,80,0.9836795271954937,0.9891826923076923
chunk_attention_control_2048,7703,2,F200,source_le_2048,243,65,0.9389711167399325,0.9619706136560069
chunk_attention_control_2048,7703,2,M0,source_gt_2048,184,80,0.9861128111306141,0.9909855769230769
chunk_attention_control_2048,7703,2,M0,source_le_2048,243,65,0.9577490610816721,0.9803802938634398
chunk_attention_control_2048,7703,3,F200,source_gt_2048,139,32,0.9884419575825826,0.9962032710280374
chunk_attention_control_2048,7703,3,F200,source_le_2048,308,61,0.8696641573072779,0.9358200039822129
chunk_attention_control_2048,7703,3,M0,source_gt_2048,139,32,0.9943738859180036,0.9982476635514018
chunk_attention_control_2048,7703,3,M0,source_le_2048,308,61,0.9287107174031296,0.9784296807592753
chunk_attention_control_2048,7703,4,F200,source_gt_2048,131,36,0.8363184243267304,0.9646198830409357
chunk_attention_control_2048,7703,4,F200,source_le_2048,293,155,0.9528836505689594,0.9708742402992052
chunk_attention_control_2048,7703,4,M0,source_gt_2048,131,36,0.8590805154785838,0.9618421052631579
chunk_attention_control_2048,7703,4,M0,source_le_2048,293,155,0.9680678489851425,0.97739597942964
chunk_attention_control_2048,7704,0,F200,source_gt_2048,97,20,0.9240243244887207,0.9824675324675325
chunk_attention_control_2048,7704,0,F200,source_le_2048,349,132,0.7300978918140012,0.6999720709398127
chunk_attention_control_2048,7704,0,M0,source_gt_2048,97,20,0.9083017962429729,0.9733766233766233
chunk_attention_control_2048,7704,0,M0,source_le_2048,349,132,0.70061096806231,0.647622538751571
chunk_attention_control_2048,7704,1,F200,source_gt_2048,161,47,0.9253323679278115,0.9863755132512131
chunk_attention_control_2048,7704,1,F200,source_le_2048,285,99,0.929255542745341,0.9608993157380255
chunk_attention_control_2048,7704,1,M0,source_gt_2048,161,47,0.9262554799750624,0.9854423292273236
chunk_attention_control_2048,7704,1,M0,source_le_2048,285,99,0.9315641392499713,0.9583469099598132
chunk_attention_control_2048,7704,2,F200,source_gt_2048,184,80,0.974401909710306,0.9795673076923077
chunk_attention_control_2048,7704,2,F200,source_le_2048,243,65,0.9067951040315936,0.9496974935177183
chunk_attention_control_2048,7704,2,M0,source_gt_2048,184,80,0.9857439172814747,0.9889423076923076
chunk_attention_control_2048,7704,2,M0,source_le_2048,243,65,0.9416619351862008,0.9749351771823683
chunk_attention_control_2048,7704,3,F200,source_gt_2048,139,32,0.9834935363439332,0.9956191588785047
chunk_attention_control_2048,7704,3,F200,source_le_2048,308,61,0.9629843265951887,0.9718590296674852
chunk_attention_control_2048,7704,3,M0,source_gt_2048,139,32,0.9811340614794563,0.9944509345794393
chunk_attention_control_2048,7704,3,M0,source_le_2048,308,61,0.9786191055038445,0.9888498042078716
chunk_attention_control_2048,7704,4,F200,source_gt_2048,131,36,0.8717160744847812,0.9654970760233919
chunk_attention_control_2048,7704,4,F200,source_le_2048,293,155,0.9484892363120673,0.9555399719495091
chunk_attention_control_2048,7704,4,M0,source_gt_2048,131,36,0.9112842083214284,0.9799707602339182
chunk_attention_control_2048,7704,4,M0,source_le_2048,293,155,0.9712545338234323,0.9801542776998597
chunk_mean_control_16384,7702,0,F200,source_gt_2048,97,20,0.6547922798050676,0.8792207792207792
chunk_mean_control_16384,7702,0,F200,source_le_2048,349,132,0.647830037644734,0.7027998882837593
chunk_mean_control_16384,7702,0,M0,source_gt_2048,97,20,0.8663749604941556,0.9636363636363637
chunk_mean_control_16384,7702,0,M0,source_le_2048,349,132,0.7057025499775725,0.6266408322859935
chunk_mean_control_16384,7702,1,F200,source_gt_2048,161,47,0.6626236680146529,0.8249346771183277
chunk_mean_control_16384,7702,1,F200,source_le_2048,285,99,0.7105112755629672,0.8338220918866079
chunk_mean_control_16384,7702,1,M0,source_gt_2048,161,47,0.9409828000102316,0.9662187383351997
chunk_mean_control_16384,7702,1,M0,source_le_2048,285,99,0.8777811509382312,0.9340175953079178
chunk_mean_control_16384,7702,2,F200,source_gt_2048,184,80,0.7455471766823484,0.7907451923076922
