model,condition,seed,fold,n_test,n_positive,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_seq,M3+F200,7702,1,446,146,1.9279323816299438,0.9399651930419414,0.9433019881053797,0.6473256714643667,0.04014793046148297,0.9172180209310911,0.9742237442922373,0.0813581512938628,0.1643835616438356,0.006666666666666667,0.684931506849315,0.02,0.9452054794520548,0.11
flat_cnn,M0,7702,1,446,146,1.871945858001709,0.9279364586823654,0.9473637014656622,0.4087531552887106,0.3042201347725208,0.9081717873770111,0.9443835616438355,0.0807905842241007,0.3561643835616438,0.0033333333333333335,0.8493150684931506,0.09666666666666666,0.8561643835616438,0.15
flat_cnn,F200,7702,1,446,146,1.871945858001709,0.9279364586823654,0.9473637014656622,0.4087531552887106,0.3042201347725208,0.5140541262131577,0.6366438356164383,0.23127328970220098,0.08904109589041095,0.006666666666666667,0.3082191780821918,0.12,0.3698630136986301,0.17333333333333334
flat_cnn,M3+F200,7702,1,446,146,1.871945858001709,0.9279364586823654,0.9473637014656622,0.4087531552887106,0.3042201347725208,0.543332040285748,0.6917351598173516,0.21778891710595902,0.07534246575342465,0.0033333333333333335,0.3150684931506849,0.12,0.363013698630137,0.14666666666666667
hist_ngram_xgb,M0,7702,1,446,146,1.5303634405136108,,0.8787852331723796,0.3225230529455267,0.2020336290089628,0.8441162648926454,0.9074657534246575,0.11770462948037252,0.3493150684931507,0.01,0.7534246575342466,0.12,0.8013698630136986,0.18333333333333332
hist_ngram_xgb,F200,7702,1,446,146,1.5303634405136108,,0.8787852331723796,0.3225230529455267,0.2020336290089628,0.5539980285777908,0.7204109589041097,0.22713515565068745,0.0136986301369863,0.0,0.2876712328767123,0.08333333333333333,0.4520547945205479,0.16
hist_ngram_xgb,M3+F200,7702,1,446,146,1.5303634405136108,,0.8787852331723796,0.3225230529455267,0.2020336290089628,0.5963989156032811,0.7307534246575341,0.2184160475681725,0.0136986301369863,0.0,0.2945205479452055,0.07,0.4657534246575342,0.15666666666666668
authguard_seq,M0,7703,1,446,146,1.5576355457305908,0.9336146314848212,0.9572567139576434,0.6967116018002162,0.123584570658697,0.9270882378640609,0.9654337899543378,0.05174098354458885,0.3493150684931507,0.01,0.9452054794520548,0.05333333333333334,0.952054794520548,0.13
authguard_seq,F200,7703,1,446,146,1.5576355457305908,0.9336146314848212,0.9572567139576434,0.6967116018002162,0.123584570658697,0.9042309744602293,0.9484931506849315,0.07300632133963121,0.10273972602739725,0.0033333333333333335,0.7328767123287672,0.03,0.9383561643835616,0.16666666666666666
authguard_seq,M3+F200,7703,1,446,146,1.5576355457305908,0.9336146314848212,0.9572567139576434,0.6967116018002162,0.123584570658697,0.9084349498261818,0.955890410958904,0.07381896750081816,0.10273972602739725,0.0033333333333333335,0.7123287671232876,0.03,0.952054794520548,0.14333333333333334
flat_cnn,M0,7703,1,446,146,1.6366498470306396,0.9497875479449069,0.7562375366284894,0.21157968696925888,0.1531672613088662,0.9056158451464674,0.9388812785388129,0.08528592813640867,0.5273972602739726,0.016666666666666666,0.8698630136986302,0.09333333333333334,0.8972602739726028,0.18
flat_cnn,F200,7703,1,446,146,1.6366498470306396,0.9497875479449069,0.7562375366284894,0.21157968696925888,0.1531672613088662,0.5032600065460824,0.6106849315068492,0.24959873718027561,0.11643835616438356,0.013333333333333334,0.3013698630136986,0.11,0.3287671232876712,0.15333333333333332
flat_cnn,M3+F200,7703,1,446,146,1.6366498470306396,0.9497875479449069,0.7562375366284894,0.21157968696925888,0.1531672613088662,0.5580813842053496,0.6725799086757991,0.23373221038208802,0.136986301369863,0.0033333333333333335,0.3150684931506849,0.09,0.363013698630137,0.13666666666666666
hist_ngram_xgb,M0,7703,1,446,146,1.6590265035629272,,0.834332650291136,0.26327758965700887,0.18876337461663295,0.8592001815721895,0.9168264840182649,0.11238579095594119,0.410958904109589,0.02,0.7945205479452054,0.15,0.8698630136986302,0.15666666666666668
hist_ngram_xgb,F200,7703,1,446,146,1.6590265035629272,,0.834332650291136,0.26327758965700887,0.18876337461663295,0.5486822822226844,0.7208675799086759,0.22467899445863473,0.0410958904109589,0.0033333333333333335,0.3493150684931507,0.13333333333333333,0.4726027397260274,0.21666666666666667
hist_ngram_xgb,M3+F200,7703,1,446,146,1.6590265035629272,,0.834332650291136,0.26327758965700887,0.18876337461663295,0.6123376721538506,0.7385159817351599,0.21152604252224608,0.0136986301369863,0.0033333333333333335,0.3972602739726027,0.11,0.5205479452054794,0.18
authguard_seq,M0,7704,1,446,146,2.2687904834747314,0.942174021028529,0.9048783963233203,0.0772673361703072,0.05009817989134649,0.9453201136088173,0.9837442922374429,0.048319720019067654,0.0958904109589041,0.006666666666666667,0.9726027397260274,0.05,0.9726027397260274,0.08666666666666667
authguard_seq,F200,7704,1,446,146,2.2687904834747314,0.942174021028529,0.9048783963233203,0.0772673361703072,0.05009817989134649,0.9110550683806895,0.9603424657534246,0.08784666265709547,0.0410958904109589,0.0,0.8972602739726028,0.056666666666666664,0.9246575342465754,0.11
authguard_seq,M3+F200,7704,1,446,146,2.2687904834747314,0.942174021028529,0.9048783963233203,0.0772673361703072,0.05009817989134649,0.917961597605693,0.9682876712328767,0.092732374341218,0.0410958904109589,0.0033333333333333335,0.9041095890410958,0.06333333333333334,0.9452054794520548,0.11666666666666667
flat_cnn,M0,7704,1,446,146,1.7770121097564697,0.9387427169854619,0.8216810493717733,0.2677374958030646,0.16113169187328683,0.9126024078620583,0.952648401826484,0.07782342089084887,0.541095890410959,0.013333333333333334,0.8493150684931506,0.11333333333333333,0.9246575342465754,0.16333333333333333
flat_cnn,F200,7704,1,446,146,1.7770121097564697,0.9387427169854619,0.8216810493717733,0.2677374958030646,0.16113169187328683,0.5031103375513148,0.6410730593607306,0.24213660220593444,0.13013698630136986,0.016666666666666666,0.2945205479452055,0.12666666666666668,0.3698630136986301,0.20333333333333334
flat_cnn,M3+F200,7704,1,446,146,1.7770121097564697,0.9387427169854619,0.8216810493717733,0.2677374958030646,0.16113169187328683,0.5523531161932117,0.6878767123287672,0.22910516578059834,0.14383561643835616,0.0033333333333333335,0.3287671232876712,0.10666666666666667,0.3698630136986301,0.17666666666666667
hist_ngram_xgb,M0,7704,1,446,146,1.6430656909942627,,0.8481407372688261,0.3325470684940041,0.19110570548033987,0.8487674321672588,0.9175114155251142,0.1100174081533687,0.3835616438356164,0.016666666666666666,0.7328767123287672,0.08666666666666667,0.8698630136986302,0.15333333333333332
hist_ngram_xgb,F200,7704,1,446,146,1.6430656909942627,,0.8481407372688261,0.3325470684940041,0.19110570548033987,0.5536962106198599,0.7164155251141553,0.22942539300062534,0.0273972602739726,0.0,0.273972602739726,0.08333333333333333,0.4246575342465753,0.19
hist_ngram_xgb,M3+F200,7704,1,446,146,1.6430656909942627,,0.8481407372688261,0.3325470684940041,0.19110570548033987,0.5892227053101596,0.7219406392694064,0.22195080289795416,0.0136986301369863,0.0,0.2671232876712329,0.05,0.4315068493150685,0.14666666666666667
authguard_seq,M0,7702,2,427,145,1.1130014657974243,0.9930464161962507,0.11052006781345977,0.011120183059030928,0.008792987347803932,0.9460929572870427,0.9805086818292981,0.06989830298736555,0.8758620689655172,0.02127659574468085,0.9655172413793104,0.04964539007092199,0.9724137931034482,0.06382978723404255
authguard_seq,F200,7702,2,427,145,1.1130014657974243,0.9930464161962507,0.11052006781345977,0.011120183059030928,0.008792987347803932,0.9234978662291919,0.9546832966495475,0.11006735804408344,0.7517241379310344,0.02127659574468085,0.8827586206896552,0.11347517730496454,0.903448275862069,0.16312056737588654
authguard_seq,M3+F200,7702,2,427,145,1.1130014657974243,0.9930464161962507,0.11052006781345977,0.011120183059030928,0.008792987347803932,0.9202113502817861,0.9499144044998777,0.10932320822499214,0.7655172413793103,0.028368794326241134,0.8896551724137931,0.11347517730496454,0.903448275862069,0.13829787234042554
flat_cnn,M0,7702,2,427,145,1.5500776767730713,0.8443759668288654,0.47898276709514487,0.3582689754655641,0.2932162352092956,0.9166106690672535,0.9510638297872341,0.14308966882541796,0.3931034482758621,0.0070921985815602835,0.5379310344827586,0.01773049645390071,0.5655172413793104,0.01773049645390071
flat_cnn,F200,7702,2,427,145,1.5500776767730713,0.8443759668288654,0.47898276709514487,0.3582689754655641,0.2932162352092956,0.45570861295626797,0.5544142822205919,0.26723326084358945,0.07586206896551724,0.0070921985815602835,0.1103448275862069,0.0070921985815602835,0.12413793103448276,0.014184397163120567
flat_cnn,M3+F200,7702,2,427,145,1.5500776767730713,0.8443759668288654,0.47898276709514487,0.3582689754655641,0.2932162352092956,0.4398882180854302,0.563878698948398,0.27216797440267665,0.05517241379310345,0.0,0.06896551724137931,0.0070921985815602835,0.10344827586206896,0.028368794326241134
hist_ngram_xgb,M0,7702,2,427,145,1.0770620107650757,,0.845470326859377,0.36027446863501694,0.36027446863501694,0.8217500612556782,0.8991195891415995,0.15730455218084405,0.41379310344827586,0.014184397163120567,0.5172413793103449,0.0851063829787234,0.5172413793103449,0.0851063829787234
hist_ngram_xgb,F200,7702,2,427,145,1.0770620107650757,,0.845470326859377,0.36027446863501694,0.36027446863501694,0.6211621910694674,0.7267791636096845,0.24795412560719693,0.04827586206896552,0.0,0.2620689655172414,0.031914893617021274,0.2620689655172414,0.031914893617021274
hist_ngram_xgb,M3+F200,7702,2,427,145,1.0770620107650757,,0.845470326859377,0.36027446863501694,0.36027446863501694,0.6275861267569713,0.7461237466373196,0.25194444164305985,0.041379310344827586,0.0035460992907801418,0.18620689655172415,0.031914893617021274,0.18620689655172415,0.031914893617021274
authguard_seq,M0,7703,2,427,145,0.845295250415802,0.9920706097888424,0.6822969761681094,0.15911307297732824,0.015143541688970625,0.9260282785237559,0.9742968941061384,0.03943472458851537,0.9517241379310345,0.03546099290780142,0.9586206896551724,0.05319148936170213,0.9724137931034482,0.23404255319148937
authguard_seq,F200,7703,2,427,145,0.845295250415802,0.9920706097888424,0.6822969761681094,0.15911307297732824,0.015143541688970625,0.9397818710725487,0.9591098067987283,0.06638232174842168,0.7379310344827587,0.024822695035460994,0.8896551724137931,0.06382978723404255,0.9655172413793104,0.3049645390070922
authguard_seq,M3+F200,7703,2,427,145,0.845295250415802,0.9920706097888424,0.6822969761681094,0.15911307297732824,0.015143541688970625,0.9403802982329817,0.9620445096600635,0.06746010448073031,0.7379310344827587,0.028368794326241134,0.903448275862069,0.07446808510638298,0.9724137931034482,0.34397163120567376
flat_cnn,M0,7703,2,427,145,1.7850910425186157,0.8967693177746667,0.9013383761989152,0.6666900210068172,0.5186684261283077,0.9414524593272893,0.9665932990951333,0.06827224645592983,0.47586206896551725,0.010638297872340425,0.8344827586206897,0.03900709219858156,0.9172413793103448,0.0851063829787234
flat_cnn,F200,7703,2,427,145,1.7850910425186157,0.8967693177746667,0.9013383761989152,0.6666900210068172,0.5186684261283077,0.4679752294849149,0.5766935681095622,0.24064264145552175,0.06896551724137931,0.0035460992907801418,0.15862068965517243,0.04964539007092199,0.23448275862068965,0.11702127659574468
flat_cnn,M3+F200,7703,2,427,145,1.7850910425186157,0.8967693177746667,0.9013383761989152,0.6666900210068172,0.5186684261283077,0.4490980220989411,0.5658596233797994,0.2451753087384584,0.06206896551724138,0.0035460992907801418,0.15172413793103448,0.06028368794326241,0.2206896551724138,0.12411347517730496
hist_ngram_xgb,M0,7703,2,427,145,1.222786784172058,,0.7772417189343714,0.48671696840667134,0.48644451868890104,0.8591102857291191,0.9252384446074834,0.13081145532427108,0.42758620689655175,0.03546099290780142,0.5310344827586206,0.06028368794326241,0.5310344827586206,0.06028368794326241
hist_ngram_xgb,F200,7703,2,427,145,1.222786784172058,,0.7772417189343714,0.48671696840667134,0.48644451868890104,0.6258525849497887,0.7318170701883101,0.24094000225880796,0.06206896551724138,0.0035460992907801418,0.2,0.01773049645390071,0.2,0.01773049645390071
hist_ngram_xgb,M3+F200,7703,2,427,145,1.222786784172058,,0.7772417189343714,0.48671696840667134,0.48644451868890104,0.6443551016438952,0.7660797260943996,0.2404952030201024,0.06896551724137931,0.0070921985815602835,0.16551724137931034,0.01773049645390071,0.16551724137931034,0.01773049645390071
authguard_seq,M0,7704,2,427,145,0.8280667662620544,0.9963775077781728,0.48654868126985246,0.011362859544236627,0.009751775108221304,0.9196575685661538,0.9688187820983125,0.07485348162983203,0.8,0.05319148936170213,0.9724137931034482,0.11702127659574468,0.9724137931034482,0.12056737588652482
authguard_seq,F200,7704,2,427,145,0.8280667662620544,0.9963775077781728,0.48654868126985246,0.011362859544236627,0.009751775108221304,0.9065817206613946,0.9497921252139887,0.10502311893971565,0.6896551724137931,0.02127659574468085,0.9103448275862069,0.1595744680851064,0.9172413793103448,0.16666666666666666
authguard_seq,M3+F200,7704,2,427,145,0.8280667662620544,0.9963775077781728,0.48654868126985246,0.011362859544236627,0.009751775108221304,0.9062984047181174,0.9552702372218145,0.10616328275298312,0.6896551724137931,0.028368794326241134,0.896551724137931,0.12056737588652482,0.9103448275862069,0.14184397163120568
