fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
1,7702,clean,cleanM0,0.8352649129882295,0.4726027397260274,0.03514376996805112,0.7397260273972602,0.12140575079872204,0.7534246575342466,0.1853035143769968
1,7702,clean,F200,0.5719934971486438,0.04794520547945205,0.003194888178913738,0.2945205479452055,0.07028753993610223,0.3561643835616438,0.10862619808306709
1,7702,clean,M3F200,0.5013813211872795,0.04794520547945205,0.003194888178913738,0.2534246575342466,0.1182108626198083,0.273972602739726,0.14057507987220447
1,7702,clean,adaptive_transfer,0.2814182527534489,0.0,0.03514376996805112,0.0273972602739726,0.12140575079872204,0.0410958904109589,0.1853035143769968
1,7702,ordinary_aug,cleanM0,0.7813203761152739,0.22602739726027396,0.009584664536741214,0.6643835616438356,0.11501597444089456,0.8356164383561644,0.28115015974440893
1,7702,ordinary_aug,F200,0.5826232388399901,0.4383561643835616,0.12779552715654952,0.9246575342465754,0.5623003194888179,0.9452054794520548,0.805111821086262
1,7702,ordinary_aug,M3F200,0.6392110706148448,0.4726027397260274,0.1501597444089457,0.9315068493150684,0.6549520766773163,0.9794520547945206,0.8562300319488818
1,7702,ordinary_aug,adaptive_transfer,0.8004133888971875,0.2054794520547945,0.009584664536741214,0.7602739726027398,0.11501597444089456,0.9315068493150684,0.28115015974440893
1,7702,source_balanced_aug,cleanM0,0.8706436330625464,0.3698630136986301,0.012779552715654952,0.815068493150685,0.10543130990415335,0.8356164383561644,0.1757188498402556
1,7702,source_balanced_aug,F200,0.6180026458054769,0.04794520547945205,0.003194888178913738,0.3561643835616438,0.09904153354632587,0.5821917808219178,0.21405750798722045
1,7702,source_balanced_aug,M3F200,0.6188603609431369,0.03424657534246575,0.0,0.3424657534246575,0.08626198083067092,0.5684931506849316,0.20447284345047922
1,7702,source_balanced_aug,adaptive_transfer,0.5341747331657342,0.0136986301369863,0.012779552715654952,0.2534246575342466,0.10543130990415335,0.4863013698630137,0.1757188498402556
1,7702,tc_hard,cleanM0,0.8003239950822425,0.410958904109589,0.01597444089456869,0.6575342465753424,0.08306709265175719,0.7876712328767124,0.16613418530351437
1,7702,tc_hard,F200,0.5310490698436445,0.1643835616438356,0.06070287539936102,0.5821917808219178,0.26198083067092653,0.7191780821917808,0.3769968051118211
1,7702,tc_hard,M3F200,0.5795561114321373,0.23972602739726026,0.06070287539936102,0.5958904109589042,0.23322683706070288,0.726027397260274,0.33865814696485624
1,7702,tc_hard,adaptive_transfer,0.8013824629226055,0.3356164383561644,0.01597444089456869,0.6917808219178082,0.08306709265175719,0.773972602739726,0.16613418530351437
1,7703,clean,cleanM0,0.8197214308394063,0.4246575342465753,0.03194888178913738,0.726027397260274,0.14376996805111822,0.7808219178082192,0.19808306709265175
1,7703,clean,F200,0.5783546038443601,0.0410958904109589,0.003194888178913738,0.3424657534246575,0.0926517571884984,0.410958904109589,0.14057507987220447
1,7703,clean,M3F200,0.4861386512873458,0.0410958904109589,0.003194888178913738,0.2602739726027397,0.13738019169329074,0.3356164383561644,0.1853035143769968
1,7703,clean,adaptive_transfer,0.2886665082272937,0.0,0.03194888178913738,0.02054794520547945,0.14376996805111822,0.04794520547945205,0.19808306709265175
1,7703,ordinary_aug,cleanM0,0.7738539417169176,0.18493150684931506,0.009584664536741214,0.6712328767123288,0.1597444089456869,0.8698630136986302,0.23961661341853036
1,7703,ordinary_aug,F200,0.591224070024,0.4589041095890411,0.14057507987220447,0.9246575342465754,0.6996805111821086,0.9452054794520548,0.7859424920127795
1,7703,ordinary_aug,M3F200,0.6275559142613122,0.5136986301369864,0.14057507987220447,0.9383561643835616,0.7731629392971247,0.9794520547945206,0.8690095846645367
1,7703,ordinary_aug,adaptive_transfer,0.8269658461455064,0.21232876712328766,0.009584664536741214,0.863013698630137,0.1597444089456869,0.910958904109589,0.23961661341853036
1,7703,source_balanced_aug,cleanM0,0.8718132632496207,0.4315068493150685,0.006389776357827476,0.7876712328767124,0.10223642172523961,0.8287671232876712,0.14696485623003194
1,7703,source_balanced_aug,F200,0.6310168694437073,0.06164383561643835,0.003194888178913738,0.3835616438356164,0.10223642172523961,0.5136986301369864,0.19169329073482427
1,7703,source_balanced_aug,M3F200,0.6236932861304099,0.03424657534246575,0.003194888178913738,0.3767123287671233,0.07028753993610223,0.4657534246575342,0.16613418530351437
1,7703,source_balanced_aug,adaptive_transfer,0.5289654526806807,0.00684931506849315,0.006389776357827476,0.2808219178082192,0.10223642172523961,0.4315068493150685,0.14696485623003194
1,7703,tc_hard,cleanM0,0.7771162772658551,0.410958904109589,0.019169329073482427,0.6095890410958904,0.08306709265175719,0.7397260273972602,0.19808306709265175
1,7703,tc_hard,F200,0.536805169738354,0.1506849315068493,0.051118210862619806,0.4520547945205479,0.15335463258785942,0.7328767123287672,0.35782747603833864
1,7703,tc_hard,M3F200,0.5859346405586779,0.1917808219178082,0.04153354632587859,0.4657534246575342,0.134185303514377,0.726027397260274,0.34185303514376997
1,7703,tc_hard,adaptive_transfer,0.7759747607302162,0.3356164383561644,0.019169329073482427,0.589041095890411,0.08306709265175719,0.8082191780821918,0.19808306709265175
1,7704,clean,cleanM0,0.833432093773924,0.5136986301369864,0.02875399361022364,0.726027397260274,0.1182108626198083,0.773972602739726,0.22044728434504793
1,7704,clean,F200,0.5662650954854381,0.0547945205479452,0.003194888178913738,0.3219178082191781,0.10223642172523961,0.4041095890410959,0.14057507987220447
1,7704,clean,M3F200,0.48685632939505796,0.06164383561643835,0.006389776357827476,0.2465753424657534,0.11182108626198083,0.3356164383561644,0.1853035143769968
1,7704,clean,adaptive_transfer,0.2941691137021364,0.0,0.02875399361022364,0.0273972602739726,0.1182108626198083,0.04794520547945205,0.22044728434504793
1,7704,ordinary_aug,cleanM0,0.7805749113367674,0.3082191780821918,0.022364217252396165,0.7328767123287672,0.134185303514377,0.7808219178082192,0.22044728434504793
1,7704,ordinary_aug,F200,0.588349296911715,0.5684931506849316,0.19488817891373802,0.9041095890410958,0.6421725239616614,0.952054794520548,0.7412140575079872
1,7704,ordinary_aug,M3F200,0.6478421142088958,0.6027397260273972,0.19808306709265175,0.9383561643835616,0.7380191693290735,0.9657534246575342,0.8115015974440895
1,7704,ordinary_aug,adaptive_transfer,0.8100036718100928,0.3013698630136986,0.022364217252396165,0.8561643835616438,0.134185303514377,0.8904109589041096,0.22044728434504793
1,7704,source_balanced_aug,cleanM0,0.8734098064936735,0.3287671232876712,0.003194888178913738,0.8013698630136986,0.11182108626198083,0.8493150684931506,0.19488817891373802
1,7704,source_balanced_aug,F200,0.6166410206695139,0.0136986301369863,0.003194888178913738,0.3972602739726027,0.11182108626198083,0.6575342465753424,0.23322683706070288
1,7704,source_balanced_aug,M3F200,0.6247557124675711,0.0273972602739726,0.0,0.3904109589041096,0.0926517571884984,0.6301369863013698,0.23003194888178913
1,7704,source_balanced_aug,adaptive_transfer,0.530424202669682,0.0,0.003194888178913738,0.3150684931506849,0.11182108626198083,0.4589041095890411,0.19488817891373802
1,7704,tc_hard,cleanM0,0.7777241721203902,0.4041095890410959,0.022364217252396165,0.5547945205479452,0.07987220447284345,0.6986301369863014,0.13099041533546327
1,7704,tc_hard,F200,0.49935499547061934,0.14383561643835616,0.06389776357827476,0.4657534246575342,0.19488817891373802,0.6095890410958904,0.28753993610223644
