chain,address,exact_bytecode_id,bytecode_family_id,evidence_path,verified_source_status
ethereum,0x0c77c9cd1e2005e6b8f89c33bf3cc17ab5ac3956,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0c77c9cd1e2005e6b8f89c33bf3cc17ab5ac3956.json,UNAVAILABLE
ethereum,0x0c864eab51c987b3719ad86ae0d1ca153a218cd0,EXACT00055,FAM00045,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0c864eab51c987b3719ad86ae0d1ca153a218cd0.json,UNAVAILABLE
ethereum,0x0c8c225152faeb06ab88cf825ad61e5c4072e529,EXACT00056,FAM00046,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0c8c225152faeb06ab88cf825ad61e5c4072e529.json,UNAVAILABLE
ethereum,0x0cc2232f45de23c56327ab28321b575bcb0b4d55,EXACT00057,FAM00047,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0cc2232f45de23c56327ab28321b575bcb0b4d55.json,UNAVAILABLE
ethereum,0x0d3fb7164ca626550919b86b1bf08212b7d724b4,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0d3fb7164ca626550919b86b1bf08212b7d724b4.json,UNAVAILABLE
ethereum,0x0d51a448891cb68cc94942c295fe89d40d97aab1,EXACT00058,FAM00048,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0d51a448891cb68cc94942c295fe89d40d97aab1.json,UNAVAILABLE
ethereum,0x0e04736a85433445ef602d07946671685ec94647,EXACT00059,FAM00049,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0e04736a85433445ef602d07946671685ec94647.json,UNAVAILABLE
ethereum,0x0e83f7049e82b61251a4a296451ea286475cf918,EXACT00060,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0e83f7049e82b61251a4a296451ea286475cf918.json,UNAVAILABLE
ethereum,0x0f1368cca0abadb88b9a847f84682d7d077ae31f,EXACT00061,FAM00050,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0f1368cca0abadb88b9a847f84682d7d077ae31f.json,UNAVAILABLE
ethereum,0x0f9201926c0444f1a90dbc3ecc6b03f086ebfb67,EXACT00062,FAM00051,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0f9201926c0444f1a90dbc3ecc6b03f086ebfb67.json,UNAVAILABLE
ethereum,0x10f9d7e161f6eb528412d51571716f74000e4190,EXACT00063,FAM00052,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x10f9d7e161f6eb528412d51571716f74000e4190.json,VERIFIED
ethereum,0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511,EXACT00064,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1108f0b04bff759f4af73dd55e49cfd9ab6a6511.json,UNAVAILABLE
ethereum,0x114d1acf57133235acfb46d4d802c3edbedc36d0,EXACT00065,FAM00053,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x114d1acf57133235acfb46d4d802c3edbedc36d0.json,UNAVAILABLE
ethereum,0x11e7af2c7a0431a975a7fa1f5d696cb252cbd3f0,EXACT00066,FAM00054,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x11e7af2c7a0431a975a7fa1f5d696cb252cbd3f0.json,UNAVAILABLE
ethereum,0x12acfa58d4fc440016dde77b49d0b2cf32f6d17f,EXACT00067,FAM00055,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x12acfa58d4fc440016dde77b49d0b2cf32f6d17f.json,UNAVAILABLE
ethereum,0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a,EXACT00068,FAM00056,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x13e00e089f81ad9f36b655c9e9a07c6bf1489a5a.json,UNAVAILABLE
ethereum,0x144ad9513c77bd80ab6e6028f87777d848307b83,EXACT00069,FAM00057,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x144ad9513c77bd80ab6e6028f87777d848307b83.json,UNAVAILABLE
ethereum,0x14dd7672e56b31f4bff67940056f4a105ece6b3d,EXACT00070,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x14dd7672e56b31f4bff67940056f4a105ece6b3d.json,UNAVAILABLE
ethereum,0x14eb85c766a24fa18a2008d9d2ba69344830e938,EXACT00071,FAM00058,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x14eb85c766a24fa18a2008d9d2ba69344830e938.json,UNAVAILABLE
ethereum,0x15236f06922a288b68e57ab42e397920a3f3bb99,EXACT00072,FAM00059,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x15236f06922a288b68e57ab42e397920a3f3bb99.json,VERIFIED
ethereum,0x152837cde9fa77943f9824876963563e6674ac53,EXACT00073,FAM00060,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x152837cde9fa77943f9824876963563e6674ac53.json,UNAVAILABLE
ethereum,0x152fdf67a77287016de7545de5f40fea5eed8eb3,EXACT00074,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x152fdf67a77287016de7545de5f40fea5eed8eb3.json,UNAVAILABLE
ethereum,0x157c9856e7b3c75375dd8bfcc7ee78546a25a37d,EXACT00075,FAM00061,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x157c9856e7b3c75375dd8bfcc7ee78546a25a37d.json,VERIFIED
ethereum,0x15c575058fa99edb2288443bcc55e93084c7158d,EXACT00076,FAM00062,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x15c575058fa99edb2288443bcc55e93084c7158d.json,VERIFIED
ethereum,0x15c5998fda2cfe01e99b052b90be359ffa58f9cf,EXACT00077,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x15c5998fda2cfe01e99b052b90be359ffa58f9cf.json,UNAVAILABLE
ethereum,0x15fff8b96a6bfd089af6457534e9113e4a6f598a,EXACT00078,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x15fff8b96a6bfd089af6457534e9113e4a6f598a.json,UNAVAILABLE
ethereum,0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f,EXACT00079,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1620e126e62e693659bb6f2a5f82c6d4cc34bf9f.json,UNAVAILABLE
ethereum,0x165885f2cf03eae6fd54eb47aca83d6a4be172de,EXACT00080,FAM00063,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x165885f2cf03eae6fd54eb47aca83d6a4be172de.json,UNAVAILABLE
ethereum,0x166fa61a7d4cc83c35ad5dfa66f3451578322c8b,EXACT00081,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x166fa61a7d4cc83c35ad5dfa66f3451578322c8b.json,UNAVAILABLE
ethereum,0x170c7f244bc817efa7845f41d433e2c48e32ebd3,EXACT00082,FAM00064,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x170c7f244bc817efa7845f41d433e2c48e32ebd3.json,UNAVAILABLE
ethereum,0x176102adb2b30a1d40b092a7f5fa52205bf1310a,EXACT00083,FAM00065,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x176102adb2b30a1d40b092a7f5fa52205bf1310a.json,UNAVAILABLE
ethereum,0x176aac415a5bb3db03f535cb972f3f297c437d37,EXACT00084,FAM00066,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x176aac415a5bb3db03f535cb972f3f297c437d37.json,UNAVAILABLE
ethereum,0x178b89387e65cb19a83e2763fa0fa2ef16b51ea2,EXACT00085,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x178b89387e65cb19a83e2763fa0fa2ef16b51ea2.json,UNAVAILABLE
ethereum,0x17cf3d94a8763d8ad1a95690696b1b5d4c44875d,EXACT00086,FAM00067,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x17cf3d94a8763d8ad1a95690696b1b5d4c44875d.json,UNAVAILABLE
ethereum,0x18349bb159ebf0502735c577f52e8ed9325a5695,EXACT00087,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x18349bb159ebf0502735c577f52e8ed9325a5695.json,UNAVAILABLE
ethereum,0x186bafe61c84ba5f0e627da1876c3888d7e20934,EXACT00088,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x186bafe61c84ba5f0e627da1876c3888d7e20934.json,UNAVAILABLE
ethereum,0x1881a6e39ed37fc760c6ef96c6c2e6430a937603,EXACT00089,FAM00068,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1881a6e39ed37fc760c6ef96c6c2e6430a937603.json,UNAVAILABLE
ethereum,0x1921c249cb274974d8b744c25efb9426441d5d0d,EXACT00090,FAM00069,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1921c249cb274974d8b744c25efb9426441d5d0d.json,UNAVAILABLE
ethereum,0x192b05eaff307cf1d1cc488e9e5da45c987f0abe,EXACT00091,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x192b05eaff307cf1d1cc488e9e5da45c987f0abe.json,UNAVAILABLE
ethereum,0x19beed34a309bf12ef0f3b5eedb107c646586a36,EXACT00092,FAM00070,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x19beed34a309bf12ef0f3b5eedb107c646586a36.json,UNAVAILABLE
ethereum,0x1a4430da723c424a26fb45ff54384790a944defb,EXACT00093,FAM00071,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1a4430da723c424a26fb45ff54384790a944defb.json,UNAVAILABLE
ethereum,0x1b14ea94875a35b3f790154e1d56e7b35bfd166e,EXACT00094,FAM00072,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1b14ea94875a35b3f790154e1d56e7b35bfd166e.json,UNAVAILABLE
ethereum,0x1bcc6b722dd35072823ea7f80b50442aaf57aac5,EXACT00095,FAM00073,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1bcc6b722dd35072823ea7f80b50442aaf57aac5.json,UNAVAILABLE
ethereum,0x1c32b62005e496dad37cd6fc30fc1c45d41a0862,EXACT00096,FAM00061,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1c32b62005e496dad37cd6fc30fc1c45d41a0862.json,VERIFIED
ethereum,0x1c8f6e6387edef7792633746ff8b1e5d9eb4464d,EXACT00097,FAM00074,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1c8f6e6387edef7792633746ff8b1e5d9eb4464d.json,UNAVAILABLE
ethereum,0x1dfe134998c8aa8be1a0de5ee1f170403af67be8,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1dfe134998c8aa8be1a0de5ee1f170403af67be8.json,UNAVAILABLE
ethereum,0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680,EXACT00098,FAM00075,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1e4c8ef03b68d89c87291268eb52d7eb1aeb8680.json,UNAVAILABLE
ethereum,0x1e69fb22fa151bd50711912799c54289a0532bf8,EXACT00099,FAM00069,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1e69fb22fa151bd50711912799c54289a0532bf8.json,UNAVAILABLE
ethereum,0x1e8de002381b9ff5e31941a567d00107f9c1b9f5,EXACT00100,FAM00076,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1e8de002381b9ff5e31941a567d00107f9c1b9f5.json,UNAVAILABLE
ethereum,0x1ed6150f0c1467ebd0389cce9913e25cf0f67258,EXACT00101,FAM00077,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1ed6150f0c1467ebd0389cce9913e25cf0f67258.json,UNAVAILABLE
ethereum,0x1edc96f2b048d873b5499bca5af1189a3a50bb93,EXACT00102,FAM00078,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1edc96f2b048d873b5499bca5af1189a3a50bb93.json,UNAVAILABLE
ethereum,0x1ee2581d34819de3d77715c758d8d0c525332492,EXACT00103,FAM00079,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1ee2581d34819de3d77715c758d8d0c525332492.json,UNAVAILABLE
