chain,from,ca_address
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0x3dfe70801b8a81d2024a8b876a36df6ce9c1ec11
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0xd9b9b2a3188e3dfb794c1c2393771ffa14fb59bc
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0x5abb1e95db0fc303aa397b7d8e7aa1e0912bb86f
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0xd7af3223bdd650e7276a8f3048060576461ffe2b
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0x423473351a62e281eedd333dcdb5949d82ee5a14
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0x30c9ef0b482ab1b8b3011e33cb6ccc0c0e4ff5a7
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0x3bf98913a8c8d1dbaf122140be36eaba045d4f11
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0xda816dfa8d455e1a28c3a4f86cf93c882b48c2f0
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0xc0e7ad8a12a42fbc7bc0136a7d70417ad47698b4
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0x57fa46414792a3f029de39211cccb281a9a1f4b2
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0x209695663bab47060db117f52c3eeb1295a0606c
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0xa8971273faa7c6c3359c7b996db425ed00202e58
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0xdbad3b3adc6c355024a5f0131b5d180b1433382d
ethereum,0xc5ac94016fa8ed3b4073a66bb92f8d8f8240c043,0xeb736cce9493493138a7758831bb4d3ed16acc8c
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0xdd461b55a8b14da4c889fd2b5dab1f8768203ac4
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0xa485c48ecbee5eec72d697ab9e985751fab48318
ethereum,0x99bdd10ba0999c68e4adeb640995b8d4209f2050,0x4c041c6ae06e2408d9d830ed54e476125352251b
ethereum,0x63608970d148491dd494b2529c3cd233eb955229,0x39c8bd35d8e79d1cc07b1417fc9e4c7386d3bd19
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0x5b98a6e0610eeda9ec2ae96d4421f08cddbe23c6
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0x53c1000ec3f84ffc29a7fa4b8ef44c9bc9dc2ae4
ethereum,0x6702f2df2228e1a53c03dae63fe51a275587abdc,0xfae3854b731aa994e1d9f6e69ced5c901b4f338b
ethereum,0xdead652ebf95cf995c99638adbb8f1cfd01a6a00,0xda4ccc6dc669ec880a132cb7c25c67e82d490e92
