original_index,chain,address,class,family_id,designator_target_address,row_represents,target_runtime_in_repository,repository_target_row_count,repository_runtime_row_count,target_runtime_appears_elsewhere_in_dataset,target_runtime_elsewhere_row_count,target_runtime_elsewhere_families,read_only_rpc_status,read_only_rpc_kind,runtime_recovery_source,recovered_runtime_sha256,recovered_runtime_bytes,task_alignment_decision
2761,bnb,0x6c6ec6b940883aad961a254f252b88744aaa926b,benign_cleared,F01150,0x6c6ec6b940883aad961a254f252b88744aaa926b,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2769,bnb,0xd24ce1db5cb1f3b53a8e729254ea9c0145c5f8c6,benign_cleared,F01155,0xd24ce1db5cb1f3b53a8e729254ea9c0145c5f8c6,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2779,bnb,0x1b2f15d843369fc6d9e2f77bed86007bc5c93c84,benign_cleared,F01160,0x1b2f15d843369fc6d9e2f77bed86007bc5c93c84,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2783,bnb,0x9c3d9254779db732a457b12159e7a759d1218938,benign_cleared,F01163,0x9c3d9254779db732a457b12159e7a759d1218938,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2797,bnb,0xc1a7ec979a3e51eb03d8247cd292f8389c5f1468,benign_cleared,F01172,0xc1a7ec979a3e51eb03d8247cd292f8389c5f1468,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2804,bnb,0xc30d008e3ed643f25053463756a1b9439c672a97,benign_cleared,F01174,0xbc5bc1febf6b5a50b08f0a72874cfd4baf9db065,delegating_account,True,1,1,True,3,F00664,ok,runtime,repository_dataset_target_row,3614b18e789ba5f6b37b31c3f25c006250abb748e9528092c33caeb65f93f1ae,2443,exclude_recovered_cross_family_exact_duplicate
2810,bnb,0x25e2a9d7e1962c138f69af3e27faf29adf6f2ed9,benign_cleared,F01177,0x25e2a9d7e1962c138f69af3e27faf29adf6f2ed9,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2831,bnb,0x84849ddeecba8a76d4ae9f8e8bfb9b7db2cba14c,benign_cleared,F01190,0x84849ddeecba8a76d4ae9f8e8bfb9b7db2cba14c,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2842,bnb,0x449da0d02f17f9bb56088deca21941e893ad250d,benign_cleared,F01193,0x449da0d02f17f9bb56088deca21941e893ad250d,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2843,bnb,0x295f0abaf975f7f0db9cf811db1c46f3cb52d6e1,benign_cleared,F01194,0x295f0abaf975f7f0db9cf811db1c46f3cb52d6e1,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
