0x3f	0x1670
0x80cV0x822V0x84dV0x432V0x35c	0x814B0x822B0x84dB0x432B0x35c
0x810V0x822V0x84dV0x432V0x35c	0x7ffB0x822B0x84dB0x432B0x35c
0x48eV0x3c3V0x35c	0x49aB0x3c3B0x35c
0x4d7V0x48bV0x3c3V0x35c	0x4dfB0x48bB0x3c3B0x35c
0x54aV0x48bV0x3c3V0x35c	0x553B0x48bB0x3c3B0x35c
0x4aaV0x48bV0x3c3V0x35c	0x4e8B0x48bB0x3c3B0x35c
0x508V0x48bV0x3c3V0x35c	0x511B0x48bB0x3c3B0x35c
0x529V0x48bV0x3c3V0x35c	0x54eB0x48bB0x3c3B0x35c
0x559V0x48bV0x3c3V0x35c	0x564B0x48bB0x3c3B0x35c
0x979V0x4aeV0x48bV0x3c3V0x35c	0x981B0x4aeB0x48bB0x3c3B0x35c
0x97dV0x4aeV0x48bV0x3c3V0x35c	0x945B0x4aeB0x48bB0x3c3B0x35c
0x955V0x4aeV0x48bV0x3c3V0x35c	0x95dB0x4aeB0x48bB0x3c3B0x35c
0x959V0x4aeV0x48bV0x3c3V0x35c	0x8f6B0x4aeB0x48bB0x3c3B0x35c
0x948V0x4aeV0x48bV0x3c3V0x35c	0x952B0x4aeB0x48bB0x3c3B0x35c
0x9fcV0x4e8V0x48bV0x3c3V0x35c	0xa05B0x4e8B0x48bB0x3c3B0x35c
0xa01V0x4e8V0x48bV0x3c3V0x35c	0x9c8B0x4e8B0x48bB0x3c3B0x35c
0x9d4V0x4e8V0x48bV0x3c3V0x35c	0x9ddB0x4e8B0x48bB0x3c3B0x35c
0x9d9V0x4e8V0x48bV0x3c3V0x35c	0x993B0x4e8B0x48bB0x3c3B0x35c
0x9e0V0x4e8V0x48bV0x3c3V0x35c	0x9edB0x4e8B0x48bB0x3c3B0x35c
0x9cbV0x4e8V0x48bV0x3c3V0x35c	0x9d3B0x4e8B0x48bB0x3c3B0x35c
0x9cfV0x4e8V0x48bV0x3c3V0x35c	0x988B0x4e8B0x48bB0x3c3B0x35c
0x9a6V0x9ddV0x4e8V0x48bV0x3c3V0x35c	0x9bcB0x9ddB0x4e8B0x48bB0x3c3B0x35c
0x9b8V0x9ddV0x4e8V0x48bV0x3c3V0x35c	0x9a1B0x9ddB0x4e8B0x48bB0x3c3B0x35c
0x57eV0x553V0x48bV0x3c3V0x35c	0x5dcB0x553B0x48bB0x3c3B0x35c
0x59dV0x553V0x48bV0x3c3V0x35c	0x5dbB0x553B0x48bB0x3c3B0x35c
0x5caV0x553V0x48bV0x3c3V0x35c	0x5d2B0x553B0x48bB0x3c3B0x35c
0x575V0x553V0x48bV0x3c3V0x35c	0x5e4B0x553B0x48bB0x3c3B0x35c
0x5eaV0x553V0x48bV0x3c3V0x35c	0x5f7B0x553B0x48bB0x3c3B0x35c
0x5e0V0x553V0x48bV0x3c3V0x35c	0x5efB0x553B0x48bB0x3c3B0x35c
0x5feV0x553V0x48bV0x3c3V0x35c	0x60aB0x553B0x48bB0x3c3B0x35c
0x635V0x553V0x48bV0x3c3V0x35c	0x63eB0x553B0x48bB0x3c3B0x35c
0xa6dV0x5a1V0x553V0x48bV0x3c3V0x35c	0xa75B0x5a1B0x553B0x48bB0x3c3B0x35c
0xa71V0x5a1V0x553V0x48bV0x3c3V0x35c	0xa39B0x5a1B0x553B0x48bB0x3c3B0x35c
0xa49V0x5a1V0x553V0x48bV0x3c3V0x35c	0xa51B0x5a1B0x553B0x48bB0x3c3B0x35c
0xa4dV0x5a1V0x553V0x48bV0x3c3V0x35c	0xa10B0x5a1B0x553B0x48bB0x3c3B0x35c
0xa3cV0x5a1V0x553V0x48bV0x3c3V0x35c	0xa46B0x5a1B0x553B0x48bB0x3c3B0x35c
0xae2V0x60aV0x553V0x48bV0x3c3V0x35c	0xaebB0x60aB0x553B0x48bB0x3c3B0x35c
0xae7V0x60aV0x553V0x48bV0x3c3V0x35c	0xa98B0x60aB0x553B0x48bB0x3c3B0x35c
0xaa4V0x60aV0x553V0x48bV0x3c3V0x35c	0xaadB0x60aB0x553B0x48bB0x3c3B0x35c
0xab0V0x60aV0x553V0x48bV0x3c3V0x35c	0xabdB0x60aB0x553B0x48bB0x3c3B0x35c
0xabeV0x60aV0x553V0x48bV0x3c3V0x35c	0xac6B0x60aB0x553B0x48bB0x3c3B0x35c
0xac2V0x60aV0x553V0x48bV0x3c3V0x35c	0xa87B0x60aB0x553B0x48bB0x3c3B0x35c
0xa9bV0x60aV0x553V0x48bV0x3c3V0x35c	0xaa3B0x60aB0x553B0x48bB0x3c3B0x35c
0xa9fV0x60aV0x553V0x48bV0x3c3V0x35c	0xa7cB0x60aB0x553B0x48bB0x3c3B0x35c
0x9a6V0xaadV0x60aV0x553V0x48bV0x3c3V0x35c	0x9bcB0xaadB0x60aB0x553B0x48bB0x3c3B0x35c
0x9b8V0xaadV0x60aV0x553V0x48bV0x3c3V0x35c	0x9a1B0xaadB0x60aB0x553B0x48bB0x3c3B0x35c
