model,seed,fold,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
dense_only,7703,0,3.139085054397583,0.6402213293964144,0.8305749209073449,0.6825539940428174,0.4937964236203834,0.6449627384191636,0.7817423021840315,0.1972213361381528,0.0263157894736842,0.0,0.2236842105263158,0.0272108843537414,0.2763157894736842,0.0612244897959183
ngram_only,7703,0,3.39491868019104,0.8012751524350714,0.8681626030590053,0.7990452806090276,0.5812781609487292,0.6342494586223136,0.601313551736484,0.191206600842385,0.1973684210526315,0.0068027210884353,0.375,0.0272108843537414,0.4276315789473684,0.0612244897959183
flat_cnn,7703,0,1.676348090171814,0.8832793950232302,0.6826871775754251,0.4639879143303598,0.4000717158041799,0.7438576638251273,0.825064894378804,0.1881004333171748,0.2828947368421052,0.0170068027210884,0.4473684210526316,0.0408163265306122,0.4736842105263157,0.0782312925170068
bigru,7703,0,5.206352233886719,0.5860946233042553,0.7177248060671708,0.6308075763431311,0.540668548111394,0.5094957798665306,0.6367704976727534,0.2195330007373415,0.0855263157894736,0.0204081632653061,0.1381578947368421,0.0306122448979591,0.1973684210526315,0.0544217687074829
transformer,7703,0,1.915644288063049,0.6094120394350195,0.7117384292882637,0.5643398651142393,0.4945192207059342,0.6849117636254678,0.8301221804511278,0.1669187642658204,0.0723684210526315,0.0204081632653061,0.6447368421052632,0.1428571428571428,0.7697368421052632,0.2346938775510204
authguard_seq,7703,0,1.898837924003601,0.9643541793637936,0.9482716722808116,0.7565407720796614,0.2272576520180793,0.791539106600391,0.8666196741854637,0.1634017484374362,0.4671052631578947,0.0136054421768707,0.5592105263157895,0.0476190476190476,0.5921052631578947,0.0748299319727891
hist_ngram_xgb,7703,1,1.6590265035629272,,0.834332650291136,0.2632775896570088,0.1887633746166329,0.8592001815721895,0.9168264840182648,0.1123857909559411,0.410958904109589,0.02,0.7945205479452054,0.15,0.8698630136986302,0.1566666666666666
dense_only,7703,1,2.533794403076172,0.8236856157466814,0.9069833728769224,0.8387939834493366,0.745045621861984,0.5990324986639843,0.7837442922374429,0.1858461772989163,0.0342465753424657,0.01,0.2397260273972602,0.0866666666666666,0.4657534246575342,0.1233333333333333
ngram_only,7703,1,1.4418745040893557,0.9170899726043312,0.9685100223924444,0.8089125390529168,0.5955765720051289,0.7611759643296947,0.8768264840182648,0.1583478264443394,0.0753424657534246,0.0166666666666666,0.6438356164383562,0.1166666666666666,0.7808219178082192,0.21
flat_cnn,7703,1,1.636112093925476,0.9497875479449068,0.7564721960506979,0.211657580116524,0.1532416745732375,0.9056158451464674,0.9388812785388128,0.0852666434205808,0.5273972602739726,0.0166666666666666,0.8698630136986302,0.0933333333333333,0.8972602739726028,0.18
