0x11b4V0x11bfV0x11d5V0x12e7V0xb5	0x118fB0x11bfB0x11d5B0x12e7B0xb5
0x11dbV0x1309V0xb5	0x11e3B0x1309B0xb5
0x11cbV0x11d5V0x1309V0xb5	0x11d2B0x11d5B0x1309B0xb5
0x11c0V0x11d5V0x1309V0xb5	0x11c8B0x11d5B0x1309B0xb5
0x11b0V0x11bfV0x11d5V0x1309V0xb5	0x11b8B0x11bfB0x11d5B0x1309B0xb5
0x11b4V0x11bfV0x11d5V0x1309V0xb5	0x118fB0x11bfB0x11d5B0x1309B0xb5
0x2e9V0xcb	0x2f1B0xcb
0x357V0xcb	0x360B0xcb
0x393V0xcb	0x39bB0xcb
0x451V0xcb	0x459B0xcb
0x4bfV0xcb	0x4c8B0xcb
0x4fbV0xcb	0x503B0xcb
0x2bcV0xcb	0x2faB0xcb
0x318V0xcb	0x322B0xcb
0x337V0xcb	0x35bB0xcb
0x366V0xcb	0x3a4B0xcb
0x3d6V0xcb	0x3e0B0xcb
0x3f1V0xcb	0x3fcB0xcb
0x417V0xcb	0x420B0xcb
0x424V0xcb	0x462B0xcb
0x480V0xcb	0x48aB0xcb
0x49fV0xcb	0x4c3B0xcb
0x4ceV0xcb	0x50cB0xcb
0x1782V0x2c0V0xcb	0x178aB0x2c0B0xcb
0x1786V0x2c0V0xcb	0x1751B0x2c0B0xcb
0x1760V0x2c0V0xcb	0x1768B0x2c0B0xcb
0x1764V0x2c0V0xcb	0x1729B0x2c0B0xcb
0x1753V0x2c0V0xcb	0x175dB0x2c0B0xcb
0x183eV0x36aV0xcb	0x1846B0x36aB0xcb
0x1842V0x36aV0xcb	0x180dB0x36aB0xcb
0x181cV0x36aV0xcb	0x1824B0x36aB0xcb
0x1820V0x36aV0xcb	0x17e5B0x36aB0xcb
0x180fV0x36aV0xcb	0x1819B0x36aB0xcb
0x193cV0x428V0xcb	0x1944B0x428B0xcb
0x1940V0x428V0xcb	0x190bB0x428B0xcb
0x191aV0x428V0xcb	0x1922B0x428B0xcb
0x191eV0x428V0xcb	0x18e3B0x428B0xcb
0x190dV0x428V0xcb	0x1917B0x428B0xcb
0x19a4V0x4d2V0xcb	0x19acB0x4d2B0xcb
0x19a8V0x4d2V0xcb	0x1973B0x4d2B0xcb
0x1982V0x4d2V0xcb	0x198aB0x4d2B0xcb
0x1986V0x4d2V0xcb	0x194bB0x4d2B0xcb
0x1975V0x4d2V0xcb	0x197fB0x4d2B0xcb
0x17cfV0x2faV0xcb	0x17d9B0x2faB0xcb
0x17d5V0x2faV0xcb	0x17a9B0x2faB0xcb
0x17b7V0x2faV0xcb	0x17c1B0x2faB0xcb
0x17abV0x2faV0xcb	0x17b4B0x2faB0xcb
0x17b0V0x2faV0xcb	0x1791B0x2faB0xcb
0x17cfV0x462V0xcb	0x17d9B0x462B0xcb
0x17d5V0x462V0xcb	0x17a9B0x462B0xcb
0x17b7V0x462V0xcb	0x17c1B0x462B0xcb
0x17abV0x462V0xcb	0x17b4B0x462B0xcb
0x17b0V0x462V0xcb	0x1791B0x462B0xcb
0x1864V0x3a4V0xcb	0x186fB0x3a4B0xcb
0x1870V0x3a4V0xcb	0x187cB0x3a4B0xcb
0x1517V0x185cV0x3a4V0xcb	0x151fB0x185cB0x3a4B0xcb
0x11b0V0x1516V0x185cV0x3a4V0xcb	0x11b8B0x1516B0x185cB0x3a4B0xcb
0x11b4V0x1516V0x185cV0x3a4V0xcb	0x118fB0x1516B0x185cB0x3a4B0xcb
0x184eV0x186fV0x3a4V0xcb	0x1856B0x186fB0x3a4B0xcb
0x18c8V0x3fcV0xcb	0x3eb7B0x3fcB0xcb
0x18c1V0x3fcV0xcb	0x18cdB0x3fcB0xcb
0x18cfV0x3fcV0xcb	0x18daB0x3fcB0xcb
0x18aaV0x18cdV0x3fcV0xcb	0x18b2B0x18cdB0x3fcB0xcb
0x189aV0x18a4V0x18cdV0x3fcV0xcb	0x18a1B0x18a4B0x18cdB0x3fcB0xcb
0x188fV0x18a4V0x18cdV0x3fcV0xcb	0x1897B0x18a4B0x18cdB0x3fcB0xcb
0x1893V0x18a4V0x18cdV0x3fcV0xcb	0x1883B0x18a4B0x18cdB0x3fcB0xcb
0x136aV0xdd	0x3d36B0xdd
0x1363V0xdd	0x136fB0xdd
0x1371V0xdd	0x137cB0xdd
0x1382V0xdd	0x138dB0xdd
0x11dbV0x136fV0xdd	0x11e3B0x136fB0xdd
0x11cbV0x11d5V0x136fV0xdd	0x11d2B0x11d5B0x136fB0xdd
0x11c0V0x11d5V0x136fV0xdd	0x11c8B0x11d5B0x136fB0xdd
0x11b0V0x11bfV0x11d5V0x136fV0xdd	0x11b8B0x11bfB0x11d5B0x136fB0xdd
0x11b4V0x11bfV0x11d5V0x136fV0xdd	0x118fB0x11bfB0x11d5B0x136fB0xdd
0x11dbV0x137cV0xdd	0x11e3B0x137cB0xdd
0x11cbV0x11d5V0x137cV0xdd	0x11d2B0x11d5B0x137cB0xdd
0x11c0V0x11d5V0x137cV0xdd	0x11c8B0x11d5B0x137cB0xdd
0x11b0V0x11bfV0x11d5V0x137cV0xdd	0x11b8B0x11bfB0x11d5B0x137cB0xdd
0x11b4V0x11bfV0x11d5V0x137cV0xdd	0x118fB0x11bfB0x11d5B0x137cB0xdd
0x13aaV0x105	0x3d59B0x105
0x13e9V0x105	0x3d7cB0x105
0x13a3V0x105	0x13afB0x105
0x13b1V0x105	0x13bcB0x105
0x13c2V0x105	0x13cdB0x105
0x13e2V0x105	0x13eeB0x105
0x13efV0x105	0x13faB0x105
0x126fV0x13bcV0x105	0x1277B0x13bcB0x105
0x1205V0x13eeV0x105	0x11e9B0x13eeB0x105
0x1222V0x13eeV0x105	0x11edB0x13eeB0x105
0x123eV0x13eeV0x105	0x11f1B0x13eeB0x105
0x121bV0x13eeV0x105	0x1227B0x13eeB0x105
0x1237V0x13eeV0x105	0x1243B0x13eeB0x105
0x11feV0x13eeV0x105	0x120aB0x13eeB0x105
0x125fV0x1269B0x13bcV0x105	0x1266B0x1269B0x13bcB0x105
0x1254V0x1269B0x13bcV0x105	0x125cB0x1269B0x13bcB0x105
0x11dbV0x13afV0x105	0x11e3B0x13afB0x105
0x11cbV0x11d5V0x13afV0x105	0x11d2B0x11d5B0x13afB0x105
0x11c0V0x11d5V0x13afV0x105	0x11c8B0x11d5B0x13afB0x105
0x11b0V0x11bfV0x11d5V0x13afV0x105	0x11b8B0x11bfB0x11d5B0x13afB0x105
0x11b4V0x11bfV0x11d5V0x13afV0x105	0x118fB0x11bfB0x11d5B0x13afB0x105
0x14c5V0x141	0x3d9fB0x141
0x14beV0x141	0x14caB0x141
0x14ccV0x141	0x14d7B0x141
0x14ddV0x141	0x14e8B0x141
0x14eeV0x141	0x14f9B0x141
0x14ffV0x141	0x150aB0x141
0x126fV0x14f9V0x141	0x1277B0x14f9B0x141
0x125fV0x1269B0x14f9V0x141	0x1266B0x1269B0x14f9B0x141
0x1254V0x1269B0x14f9V0x141	0x125cB0x1269B0x14f9B0x141
0x11dbV0x14caV0x141	0x11e3B0x14caB0x141
0x11cbV0x11d5V0x14caV0x141	0x11d2B0x11d5B0x14caB0x141
0x11c0V0x11d5V0x14caV0x141	0x11c8B0x11d5B0x14caB0x141
0x11b0V0x11bfV0x11d5V0x14caV0x141	0x11b8B0x11bfB0x11d5B0x14caB0x141
0x11b4V0x11bfV0x11d5V0x14caV0x141	0x118fB0x11bfB0x11d5B0x14caB0x141
0x11dbV0x14d7V0x141	0x11e3B0x14d7B0x141
0x11cbV0x11d5V0x14d7V0x141	0x11d2B0x11d5B0x14d7B0x141
0x11c0V0x11d5V0x14d7V0x141	0x11c8B0x11d5B0x14d7B0x141
0x11b0V0x11bfV0x11d5V0x14d7V0x141	0x11b8B0x11bfB0x11d5B0x14d7B0x141
0x11b4V0x11bfV0x11d5V0x14d7V0x141	0x118fB0x11bfB0x11d5B0x14d7B0x141
0x11dbV0x14e8V0x141	0x11e3B0x14e8B0x141
0x11cbV0x11d5V0x14e8V0x141	0x11d2B0x11d5B0x14e8B0x141
0x11c0V0x11d5V0x14e8V0x141	0x11c8B0x11d5B0x14e8B0x141
0x11b0V0x11bfV0x11d5V0x14e8V0x141	0x11b8B0x11bfB0x11d5B0x14e8B0x141
0x11b4V0x11bfV0x11d5V0x14e8V0x141	0x118fB0x11bfB0x11d5B0x14e8B0x141
0x1550V0x193	0x3dc2B0x193
0x1549V0x193	0x1555B0x193
0x1557V0x193	0x1562B0x193
0x1568V0x193	0x1573B0x193
0x1579V0x193	0x1584B0x193
0x126fV0x1573V0x193	0x1277B0x1573B0x193
0x125fV0x1269B0x1573V0x193	0x1266B0x1269B0x1573B0x193
0x1254V0x1269B0x1573V0x193	0x125cB0x1269B0x1573B0x193
0x11dbV0x1555V0x193	0x11e3B0x1555B0x193
0x11cbV0x11d5V0x1555V0x193	0x11d2B0x11d5B0x1555B0x193
0x11c0V0x11d5V0x1555V0x193	0x11c8B0x11d5B0x1555B0x193
0x11b0V0x11bfV0x11d5V0x1555V0x193	0x11b8B0x11bfB0x11d5B0x1555B0x193
0x11b4V0x11bfV0x11d5V0x1555V0x193	0x118fB0x11bfB0x11d5B0x1555B0x193
0x11dbV0x1562V0x193	0x11e3B0x1562B0x193
0x11cbV0x11d5V0x1562V0x193	0x11d2B0x11d5B0x1562B0x193
0x11c0V0x11d5V0x1562V0x193	0x11c8B0x11d5B0x1562B0x193
0x11b0V0x11bfV0x11d5V0x1562V0x193	0x11b8B0x11bfB0x11d5B0x1562B0x193
0x11b4V0x11bfV0x11d5V0x1562V0x193	0x118fB0x11bfB0x11d5B0x1562B0x193
0x15a0V0x1bb	0x3de5B0x1bb
0x15ceV0x1bb	0x3e08B0x1bb
0x1599V0x1bb	0x15a5B0x1bb
0x15a7V0x1bb	0x15b2B0x1bb
0x15c7V0x1bb	0x15d3B0x1bb
0x15d4V0x1bb	0x15dfB0x1bb
0x1205V0x15d3V0x1bb	0x11e9B0x15d3B0x1bb
0x1222V0x15d3V0x1bb	0x11edB0x15d3B0x1bb
0x123eV0x15d3V0x1bb	0x11f1B0x15d3B0x1bb
0x121bV0x15d3V0x1bb	0x1227B0x15d3B0x1bb
0x1237V0x15d3V0x1bb	0x1243B0x15d3B0x1bb
0x11feV0x15d3V0x1bb	0x120aB0x15d3B0x1bb
0x11dbV0x15a5V0x1bb	0x11e3B0x15a5B0x1bb
0x11cbV0x11d5V0x15a5V0x1bb	0x11d2B0x11d5B0x15a5B0x1bb
0x11c0V0x11d5V0x15a5V0x1bb	0x11c8B0x11d5B0x15a5B0x1bb
0x11b0V0x11bfV0x11d5V0x15a5V0x1bb	0x11b8B0x11bfB0x11d5B0x15a5B0x1bb
0x11b4V0x11bfV0x11d5V0x15a5V0x1bb	0x118fB0x11bfB0x11d5B0x15a5B0x1bb
0x1550V0x1e3	0x3dc2B0x1e3
0x1549V0x1e3	0x1555B0x1e3
0x1557V0x1e3	0x1562B0x1e3
0x1568V0x1e3	0x1573B0x1e3
0x1579V0x1e3	0x1584B0x1e3
0x126fV0x1573V0x1e3	0x1277B0x1573B0x1e3
0x125fV0x1269B0x1573V0x1e3	0x1266B0x1269B0x1573B0x1e3
0x1254V0x1269B0x1573V0x1e3	0x125cB0x1269B0x1573B0x1e3
0x11dbV0x1555V0x1e3	0x11e3B0x1555B0x1e3
0x11cbV0x11d5V0x1555V0x1e3	0x11d2B0x11d5B0x1555B0x1e3
0x11c0V0x11d5V0x1555V0x1e3	0x11c8B0x11d5B0x1555B0x1e3
