0xa	0xa2
0x1ec3V0x12b9	0x8b4dB0x12b9
0x1f5dV0x14a2	0x8c540x1f42B0x14a2
0x1ec3V0x15b1	0x8b4dB0x15b1
0x2099V0x195d	0x8dbeB0x195d
0x20a9V0x195d	0x8de1B0x195d
0x2086V0x195d	0x8d9bB0x195d
0x21ceV0x185e	0x8e04B0x185e
0x2478V0x13110	0x8f85B0x13110
0x21f6V0x16a1	0x8e4aB0x16a1
0x2206V0x16a1	0x8e6dB0x16a1
0x21e3V0x16a1	0x8e27B0x16a1
0x203dV0x13141	0x8d0fB0x13141
0x204aV0x13141	0x8d32B0x13141
0x202aV0x13141	0x8cecB0x13141
0x205dV0x1776	0x8d55B0x1776
0x1f5dV0x17f2	0x8c540x1f42B0x17f2
0x2478V0x131fc	0x8f85B0x131fc
0x21f6V0x187f	0x8e4aB0x187f
0x2206V0x187f	0x8e6dB0x187f
0x21e3V0x187f	0x8e27B0x187f
0x203dV0x1322d	0x8d0fB0x1322d
0x204aV0x1322d	0x8d32B0x1322d
0x202aV0x1322d	0x8cecB0x1322d
0x3367V0x196d	0x3379B0x196d
0x3384V0x196d	0x333aB0x196d
0x3334V0x196d	0x13a25B0x196d
0x334fV0x196d	0x3359B0x196d
0x3363V0x196d	0x92bdB0x196d
0x337dV0x196d	0x3388B0x196d
0x333eV0x196d	0x3346B0x196d
0x1f5dV0x1a11	0x8c540x1f42B0x1a11
0x1f5dV0x19ee	0x8c540x1f42B0x19ee
0x1f5dV0x132e8	0x8c540x1f42B0x132e8
0x20d2V0x19db	0x20b1B0x19db
0x20b5V0x19db	0x20beB0x19db
0x2593V0x1bba	0x2598B0x1bba
0x205dV0x1bf1	0x8d55B0x1bf1
0x203dV0x1be2	0x8d0fB0x1be2
0x204aV0x1be2	0x8d32B0x1be2
0x202aV0x1be2	0x8cecB0x1be2
0x2099V0x1c04	0x8dbeB0x1c04
0x20a9V0x1c04	0x8de1B0x1c04
0x2086V0x1c04	0x8d9bB0x1c04
0x2dcbV0x1d3c	0x2d8bB0x1d3c
0x2d42V0x1d3c	0x2d4dB0x1d3c
0x2d8fV0x1d3c	0x2dadB0x1d3c
0x2da9V0x1d3c	0x2d3eB0x1d3c
0x2dfeV0x1d55	0x2ddfB0x1d55
0x2de3V0x1d55	0x2decB0x1d55
0x2071V0x1dd4	0x8d78B0x1dd4
0x1f5dV0x1df8	0x8c540x1f42B0x1df8
0x1f5dV0x1fea	0x8c540x1f42B0x1fea
0x1f5dV0x1f81	0x8c540x1f42B0x1f81
0x1f5dV0x2ce2	0x8c540x1f42B0x2ce2
0x33d4V0xe8e	0x9378B0xe8e
0x205dV0x84a	0x8d55B0x84a
0x398cV0xdcf	0x39abB0xdcf
0x3993V0xdcf	0x13b1aB0xdcf
0x3997V0xdcf	0x39b1B0xdcf
0x399bV0xdcf	0x13b41B0xdcf
0x39e3V0xdcf	0x39edB0xdcf
0x3905V0xdcf	0x390fB0xdcf
0x3915V0xdcf	0x391fB0xdcf
0x3925V0xdcf	0x392fB0xdcf
0x3935V0xdcf	0x3942B0xdcf
0x3957V0xdcf	0x958cB0xdcf
0x3a08V0xdcf	0x3a12B0xdcf
0x39c9V0xdcf	0x39d3B0xdcf
0x3988V0xdcf	0x95d8B0xdcf
0x39b9V0xdcf	0x3973B0xdcf
0x3975V0xdcf	0x3939B0xdcf
0x39d7V0xdcf	0x9624B0xdcf
0x39f3V0xdcf	0x396cB0xdcf
0x396fV0xdcf	0x3979B0xdcf
0x3a1aV0xdcf	0x3963B0xdcf
0x3968V0xdcf	0x39bdB0xdcf
0x395fV0xdcf	0x39f7B0xdcf
0x33d4V0xdf2	0x9378B0xdf2
0x205dV0x192f	0x8d55B0x192f
0x2ccaV0x80f	0x91b6B0x80f
0x365cV0x253	0x13ad6B0x253
0x1f5dV0x3659V0x253	0x8c540x1f42B0x3659B0x253
0x3689V0x268	0x3693B0x268
0x3698V0x268	0x13af8B0x268
0x3738V0x268	0x373fB0x268
0x1f5dV0x3685V0x268	0x8c540x1f42B0x3685B0x268
0x1f5dV0x373fV0x268	0x8c540x1f42B0x373fB0x268
0x2ccaV0x2cd6	0x91b6B0x2cd6
0x2637V0xbce	0x267bB0xbce
0x263fV0xbce	0x266bB0xbce
0x264eV0xbce	0x2656B0xbce
0x2631V0xbce	0x9063B0xbce
0x2685V0xbce	0x25e7B0xbce
0x25ebV0xbce	0x25f7B0xbce
0x1ec3V0x2635V0xbce	0x8b4dB0x2635B0xbce
0x22a9V0x2656V0xbce	0x8f3fB0x2656B0xbce
0x2292V0x2656V0xbce	0x8f1cB0x2656B0xbce
0x22b2V0x2656V0xbce	0x8f62B0x2656B0xbce
0x22d8V0x16bf	0x134deB0x16bf
0x22e4V0x16bf	0x22ecB0x16bf
0x22f8V0x16bf	0x2303B0x16bf
0x233cV0x16bf	0x23e4B0x16bf
0x233fV0x16bf	0x23d8B0x16bf
0x2342V0x16bf	0x23b6B0x16bf
0x2345V0x16bf	0x2387B0x16bf
0x2348V0x16bf	0x236aB0x16bf
0x234bV0x16bf	0x2357B0x16bf
0x23b9V0x16bf	0x1352cB0x16bf
0x23bcV0x16bf	0x23c9B0x16bf
0x238aV0x16bf	0x13500B0x16bf
0x238dV0x16bf	0x239aB0x16bf
0x236bV0x16bf	0x2378B0x16bf
0x1ec3V0x22d7V0x16bf	0x8b4dB0x22d7B0x16bf
0x1ec3V0x22ecV0x16bf	0x8b4dB0x22ecB0x16bf
0x222fV0x2303V0x16bf	0x8eb3B0x2303B0x16bf
0x2218V0x2303V0x16bf	0x8e90B0x2303B0x16bf
0x223bV0x2303V0x16bf	0x8ed6B0x2303B0x16bf
0x22a9V0x23d8V0x16bf	0x8f3fB0x23d8B0x16bf
0x2292V0x23d8V0x16bf	0x8f1cB0x23d8B0x16bf
0x22b2V0x23d8V0x16bf	0x8f62B0x23d8B0x16bf
0x227eV0x23b6V0x16bf	0x8ef9B0x23b6B0x16bf
0x227eV0x2387V0x16bf	0x8ef9B0x2387B0x16bf
0x222fV0x236aV0x16bf	0x8eb3B0x236aB0x16bf
0x2218V0x236aV0x16bf	0x8e90B0x236aB0x16bf
0x223bV0x236aV0x16bf	0x8ed6B0x236aB0x16bf
0x226dV0x2357V0x16bf	0x224cB0x2357B0x16bf
0x2250V0x2357V0x16bf	0x2259B0x2357B0x16bf
0x226dV0x2378V0x16bf	0x224cB0x2378B0x16bf
0x2250V0x2378V0x16bf	0x2259B0x2378B0x16bf
0x22a9V0x239aV0x16bf	0x8f3fB0x239aB0x16bf
0x2292V0x239aV0x16bf	0x8f1cB0x239aB0x16bf
0x22b2V0x239aV0x16bf	0x8f62B0x239aB0x16bf
0x22a9V0x23c9V0x16bf	0x8f3fB0x23c9B0x16bf
0x2292V0x23c9V0x16bf	0x8f1cB0x23c9B0x16bf
0x22b2V0x23c9V0x16bf	0x8f62B0x23c9B0x16bf
0x241cV0x1316d	0x2428B0x1316d
0x23f7V0x1316d	0x13558B0x1316d
0x23fbV0x1316d	0x2441B0x1316d
0x23feV0x1316d	0x2436B0x1316d
0x2401V0x1316d	0x241bB0x1316d
0x2404V0x1316d	0x240dB0x1316d
0x22a9V0x2436V0x1316d	0x8f3fB0x2436B0x1316d
0x2292V0x2436V0x1316d	0x8f1cB0x2436B0x1316d
0x22b2V0x2436V0x1316d	0x8f62B0x2436B0x1316d
0x22a9V0x241bV0x1316d	0x8f3fB0x241bB0x1316d
0x2292V0x241bV0x1316d	0x8f1cB0x241bB0x1316d
0x22b2V0x241bV0x1316d	0x8f62B0x241bB0x1316d
0x22a9V0x23f6V0x1316d	0x8f3fB0x23f6B0x1316d
0x2292V0x23f6V0x1316d	0x8f1cB0x23f6B0x1316d
0x22b2V0x23f6V0x1316d	0x8f62B0x23f6B0x1316d
0x22d8V0x1890	0x134deB0x1890
0x22e4V0x1890	0x22ecB0x1890
0x22f8V0x1890	0x2303B0x1890
0x233cV0x1890	0x23e4B0x1890
0x233fV0x1890	0x23d8B0x1890
0x2342V0x1890	0x23b6B0x1890
0x2345V0x1890	0x2387B0x1890
0x2348V0x1890	0x236aB0x1890
0x234bV0x1890	0x2357B0x1890
0x23b9V0x1890	0x1352cB0x1890
0x23bcV0x1890	0x23c9B0x1890
0x238aV0x1890	0x13500B0x1890
0x238dV0x1890	0x239aB0x1890
0x236bV0x1890	0x2378B0x1890
0x1ec3V0x22d7V0x1890	0x8b4dB0x22d7B0x1890
0x1ec3V0x22ecV0x1890	0x8b4dB0x22ecB0x1890
0x222fV0x2303V0x1890	0x8eb3B0x2303B0x1890
0x2218V0x2303V0x1890	0x8e90B0x2303B0x1890
0x223bV0x2303V0x1890	0x8ed6B0x2303B0x1890
0x22a9V0x23d8V0x1890	0x8f3fB0x23d8B0x1890
0x2292V0x23d8V0x1890	0x8f1cB0x23d8B0x1890
0x22b2V0x23d8V0x1890	0x8f62B0x23d8B0x1890
0x227eV0x23b6V0x1890	0x8ef9B0x23b6B0x1890
0x227eV0x2387V0x1890	0x8ef9B0x2387B0x1890
0x222fV0x236aV0x1890	0x8eb3B0x236aB0x1890
0x2218V0x236aV0x1890	0x8e90B0x236aB0x1890
0x223bV0x236aV0x1890	0x8ed6B0x236aB0x1890
0x226dV0x2357V0x1890	0x224cB0x2357B0x1890
0x2250V0x2357V0x1890	0x2259B0x2357B0x1890
0x226dV0x2378V0x1890	0x224cB0x2378B0x1890
0x2250V0x2378V0x1890	0x2259B0x2378B0x1890
0x22a9V0x239aV0x1890	0x8f3fB0x239aB0x1890
0x2292V0x239aV0x1890	0x8f1cB0x239aB0x1890
0x22b2V0x239aV0x1890	0x8f62B0x239aB0x1890
0x22a9V0x23c9V0x1890	0x8f3fB0x23c9B0x1890
0x2292V0x23c9V0x1890	0x8f1cB0x23c9B0x1890
0x22b2V0x23c9V0x1890	0x8f62B0x23c9B0x1890
0x241cV0x13259	0x2428B0x13259
0x23f7V0x13259	0x13558B0x13259
0x23fbV0x13259	0x2441B0x13259
0x23feV0x13259	0x2436B0x13259
0x2401V0x13259	0x241bB0x13259
0x2404V0x13259	0x240dB0x13259
0x22a9V0x2436V0x13259	0x8f3fB0x2436B0x13259
0x2292V0x2436V0x13259	0x8f1cB0x2436B0x13259
0x22b2V0x2436V0x13259	0x8f62B0x2436B0x13259
0x22a9V0x241bV0x13259	0x8f3fB0x241bB0x13259
0x2292V0x241bV0x13259	0x8f1cB0x241bB0x13259
0x22b2V0x241bV0x13259	0x8f62B0x241bB0x13259
0x22a9V0x23f6V0x13259	0x8f3fB0x23f6B0x13259
0x2292V0x23f6V0x13259	0x8f1cB0x23f6B0x13259
0x22b2V0x23f6V0x13259	0x8f62B0x23f6B0x13259
0x365cV0x1be9	0x13ad6B0x1be9
0x1f5dV0x3659V0x1be9	0x8c540x1f42B0x3659B0x1be9
0x3689V0x1bfb	0x3693B0x1bfb
0x3698V0x1bfb	0x13af8B0x1bfb
0x3738V0x1bfb	0x373fB0x1bfb
0x1f5dV0x3685V0x1bfb	0x8c540x1f42B0x3685B0x1bfb
0x1f5dV0x373fV0x1bfb	0x8c540x1f42B0x373fB0x1bfb
0x2527V0x1c3a	0x252fB0x1c3a
0x2531V0x1c3a	0x253dB0x1c3a
0x2547V0x1c3a	0x8fa8B0x1c3a
0x1f5dV0x252fV0x1c3a	0x8c540x1f42B0x252fB0x1c3a
0x1f71V0x2523V0x1c3a	0x8ca0B0x2523B0x1c3a
0x3852V0x27f	0x385aB0x27f
0x3775V0x27f	0x377dB0x27f
0x377fV0x27f	0x378bB0x27f
0x3792V0x27f	0x379aB0x27f
0x38d2V0x27f	0x38daB0x27f
0x37c6V0x27f	0x37d0B0x27f
0x37d5V0x27f	0x37dfB0x27f
0x37e5V0x27f	0x37eeB0x27f
0x38afV0x27f	0x38b7B0x27f
0x3847V0x27f	0x9569B0x27f
0x3863V0x27f	0x386bB0x27f
0x386dV0x27f	0x3875B0x27f
0x387aV0x27f	0x3882B0x27f
0x388eV0x27f	0x3897B0x27f
0x3899V0x27f	0x38a2B0x27f
0x38a5V0x27f	0x37b5B0x27f
0x37b9V0x27f	0x37c5B0x27f
0x38c7V0x27f	0x37f4B0x27f
0x37f8V0x27f	0x38a9B0x27f
0x38f1V0x27f	0x379dB0x27f
0x37a1V0x27f	0x38cbB0x27f
0x3837V0x27f	0x3840B0x27f
0x1f01V0x384bV0x27f	0x8b70B0x384bB0x27f
0x1f5dV0x377dV0x27f	0x8c540x1f42B0x377dB0x27f
0x1f3aV0x38cbV0x27f	0x8c08B0x38cbB0x27f
