0x8a9	0x8aa
0x8aa	0x8ac
0x8ac	0x8ad
0x8ad	0x8af
0x8af	0x8b0
0x8b0	0x8b3
0x8b5	0x8b8
0x8b8	0x8ba
0x8ba	0x8bf
0x8bf	0x8c0
0x8c0	0x8c1
0x8c1	0x8c2
0x8c2	0x8c4
0x8c4	0x8c5
0x8c5	0x8e6
0x8e6	0x8e9
0x8eb	0x8ed
0x8ee	0x8f3
0x8f3	0x8f6
0x8f6	0x8f9
0x8f9	0x8fb
0x8fb	0x8fc
0x8fc	0x8fd
0x8fd	0x900
0x902	0x904
0x904	0x906
0x906	0x907
0x907	0x908
0x908	0x90b
0x90e	0x90f
0x90f	0x912
0x913	0x914
0x914	0x916
0x916	0x918
0x918	0x919
0x919	0x91a
0x91a	0x91b
0x91b	0x91c
0x91c	0x91f
0x920	0x924
0x924	0x925
0x925	0x928
0x929	0x92c
0x92c	0x92e
0x92e	0x930
0x930	0x931
0x931	0x932
0x932	0x935
0x937	0x93a
0x93a	0x93c
0x93c	0x93e
0x93e	0x93f
0x93f	0x940
0x940	0x943
0x945	0x948
0x948	0x94b
0x94b	0x94d
0x94d	0x94e
0x94e	0x94f
0x94f	0x952
0x954	0x959
0x959	0x95c
0x95c	0x95f
0x95f	0x962
0x962	0x964
0x964	0x966
0x966	0x967
0x967	0x968
0x968	0x96a
0x96a	0x96b
0x96b	0x96d
0x96d	0x96e
0x96e	0x971
0x987	0x989
0x989	0x98a
0x98a	0x98c
0x98c	0x98d
0x98d	0x990
0x990	0x993
0x994	0x997
0x998	0x99b
0x99b	0x99e
0x99e	0x9a1
0x9a3	0x9a5
0x9a5	0x9a7
0x9a7	0x9a9
0x9a9	0x9ab
0x9ab	0x9ad
0x9ad	0x9ae
0x9ae	0x9af
0x9af	0x9b2
0x9b2	0x9b5
0x9b5	0x9b8
0x9b8	0x9ba
0x9ba	0x9bc
0x9bc	0x9bd
0x9bd	0x9be
0x9be	0x9c0
0x9c0	0x9c1
0x9c1	0x9c3
0x9c3	0x9c4
0x9c4	0x9c7
0x9c9	0x9cb
0x9cb	0x9ce
0x9ce	0x9d0
0x9d0	0x9d2
0x9d2	0x9d6
0x9d6	0x9d9
0x9db	0x9dd
0x9de	0x9df
0x9df	0x9e2
0x9e2	0x9e3
0x9e4	0x9e6
0x9e6	0x9e8
0x9e8	0x9e9
0x9e9	0x9ea
0x9ea	0x9eb
0x9eb	0x9ee
0x9ee	0x9ef
0x9f0	0x9f2
0x9f2	0x9f3
0x9f3	0x9f5
0x9f5	0x9f6
0x9f6	0x9f7
0x9f7	0x9fa
0x9fa	0x9fb
0x9fc	0x9fd
0x9fd	0xa00
0xa00	0xa01
0xa02	0xa04
0xa04	0xa06
0xa06	0xa07
0xa07	0xa08
0xa08	0xa09
0xa09	0xa0c
0xa0c	0xa0d
0xa0e	0xa0f
0xa0f	0xa12
0xa12	0xa13
0xa14	0xa17
0xa17	0xa18
0xa19	0xa1d
0xa1d	0xa1e
0xa1f	0xa22
0xa22	0xa23
0xa23	0xa24
0xa24	0xa25
0xa25	0xa29
0xa29	0xa2a
0xa2b	0xa2d
0xa2d	0xa2f
0xa2f	0xa30
0xa30	0xa31
0xa31	0xa32
0xa32	0xa36
0xa36	0xa37
0xa38	0xa3b
0xa3b	0xa3d
0xa3d	0xa3f
0xa3f	0xa40
0xa40	0xa41
0xa41	0xa43
0xa43	0xa44
0xa44	0xa46
0xa46	0xa47
0xa47	0xa4a
0xa4e	0xa51
0xa51	0xa53
0xa53	0xa55
0xa55	0xa56
0xa56	0xa57
0xa57	0xa59
0xa59	0xa5a
0xa5a	0xa5c
0xa5c	0xa5d
0xa5d	0xa60
0xa62	0xa63
0xa63	0xa66
0xa67	0xa6a
0xa6a	0xa6d
0xa6d	0xa70
0xa70	0xa72
0xa72	0xa73
0xa73	0xa74
0xa74	0xa76
0xa76	0xa77
0xa77	0xa79
0xa79	0xa7a
0xa7a	0xa7d
0xa80	0xa83
0xa88	0xa8a
0xa8a	0xa8b
0xa8b	0xa8e
0xa8f	0xa91
0xa91	0xa92
0xa92	0xa95
0xa95	0xa96
0xa96	0xa9a
0xa9a	0xa9c
0xa9c	0xa9d
0xa9d	0xa9e
0xa9e	0xaa1
0xaa1	0xaa2
0xaa2	0xaa5
0xaa5	0xaa8
0xaa8	0xaaa
0xaaa	0xaac
0xaac	0xaad
0xaad	0xaae
0xaae	0xab0
0xab0	0xab2
0xab2	0xab3
0xab3	0xab4
0xab4	0xab7
0xab9	0xabc
0xabf	0xac2
0xac2	0xac4
0xac4	0xac5
0xac5	0xac8
0xac8	0xaca
0xaca	0xacc
0xacc	0xacd
0xacd	0xad0
0xad5	0xad7
0xad7	0xadb
0xadb	0xafd
0xafe	0xb01
0xb01	0xb02
0xb02	0xb06
0xb06	0xb0b
0xb0b	0xb0d
0xb0d	0xb0f
0xb0f	0xb11
0xb11	0xb12
0xb12	0xb14
0xb14	0xb15
0xb15	0xb17
0xb18	0xb1a
0xb1a	0xb1c
0xb1c	0xb1e
0xb1e	0xb1f
0xb1f	0xb20
0xb20	0xb23
0xb23	0xb24
0xb24	0xb25
0xb25	0xb26
0xb26	0xb29
0xb29	0xb2a
0xb2b	0xb2e
0xb2e	0xb2f
0xb2f	0xb30
0xb30	0xb33
0xb33	0xb34
0xb35	0xb38
