family_id,n,pos,seq_advantage
F01021,1,0,-0.0091324200913242
F00825,1,0,-0.009360730593607314
F00028,1,1,-0.010273972602739656
F00964,1,0,-0.010273972602739712
F00154,1,1,-0.010730593607305883
F00714,10,0,-0.010958904109589029
F01323,2,0,-0.011643835616438364
F00982,5,0,-0.01187214611872145
F00902,2,0,-0.012785388127853875
F01222,1,0,-0.013470319634703187
F01329,1,0,-0.013926940639269414
F00039,12,11,-0.014117199391171953
F00932,1,0,-0.014383561643835585
F00685,7,0,-0.014546640574037777
F00869,1,0,-0.015753424657534265
F00089,1,1,-0.017123287671232834
F00202,1,1,-0.02168949771689488
F00890,1,0,-0.023059360730593614
F00698,1,0,-0.023515981735159786
F01201,1,0,-0.02442922374429224
F00879,1,0,-0.024885844748858466
F00998,2,0,-0.02511415525114155
F00740,7,0,-0.025994781474233526
F00689,12,0,-0.02636986301369862
F01153,1,0,-0.027168949771689488
F00120,7,7,-0.027560339204174777
F00035,3,3,-0.027625570776255676
F01158,2,0,-0.027625570776255687
F00781,2,0,-0.028538812785388112
F01052,1,0,-0.029452054794520566
F00150,1,1,-0.029680365296803624
F00112,2,2,-0.03127853881278536
F00855,1,0,-0.032191780821917815
F00138,2,2,-0.03515981735159812
F00011,3,3,-0.03569254185692535
F00877,1,0,-0.03584474885844746
F00149,1,1,-0.03584474885844746
F00053,3,2,-0.036910197869101956
F01083,1,0,-0.03767123287671231
F00865,4,0,-0.037899543378995426
F01105,1,0,-0.03904109589041094
F00029,4,3,-0.03904109589041094
F01148,1,0,-0.04086757990867579
F00038,24,13,-0.04200913242009128
F00007,22,19,-0.04223744292237442
F01186,1,0,-0.04269406392694064
F01171,1,0,-0.043150684931506866
F00046,10,3,-0.04353881278538811
F00091,2,2,-0.044977168949771607
F00863,1,0,-0.045890410958904115
F00103,3,3,-0.04589041095890415
F00901,1,0,-0.04634703196347034
F00048,1,1,-0.04680365296803646
F00939,1,0,-0.04680365296803651
F01036,1,0,-0.04748858447488591
F00002,13,13,-0.04810326659641724
F00033,2,2,-0.05251141552511418
F00017,1,1,-0.05342465753424663
F00831,1,0,-0.05547945205479454
F00078,1,1,-0.056392694063926885
F00913,1,0,-0.06027397260273981
F00715,31,0,-0.06051701281484755
F01215,1,0,-0.06278538812785389
F00790,2,0,-0.0639269406392694
F00096,3,3,-0.06415525114155252
F00014,1,1,-0.06643835616438354
F01271,1,0,-0.06689497716894977
F01029,1,0,-0.06735159817351599
F00015,9,9,-0.06846778285134449
F01205,1,0,-0.06917808219178084
F00789,4,0,-0.07123287671232877
F00959,2,0,-0.07191780821917806
F00105,1,1,-0.07214611872146115
F01197,3,0,-0.0743531202435312
F00686,15,0,-0.07605783866057837
F01285,2,0,-0.07625570776255708
F00013,15,15,-0.07800608828006082
F00736,3,0,-0.07922374429223744
F01097,1,0,-0.08013698630136984
F00034,1,1,-0.08036529680365301
F01282,1,0,-0.08150684931506846
F01270,1,0,-0.08196347031963469
F00810,1,0,-0.08242009132420092
F00986,1,0,-0.08287671232876714
F01231,1,0,-0.08378995433789954
F01259,1,0,-0.08424657534246577
F01268,1,0,-0.08470319634703194
F00059,2,2,-0.08538812785388128
F00063,3,3,-0.08569254185692539
F00770,1,0,-0.08652968036529679
F00948,1,0,-0.08789954337899542
F00755,1,0,-0.08972602739726027
F00128,6,5,-0.08987823439878234
F01189,2,0,-0.09018264840182649
F00032,5,5,-0.09109589041095889
F00044,1,1,-0.09178082191780823
F00160,2,2,-0.09337899543378991
F00209,1,1,-0.09337899543378991
F00186,1,1,-0.09589041095890405
F00055,4,1,-0.09651826484018265
F00958,2,0,-0.09703196347031967
F00100,4,4,-0.09726027397260273
F01159,9,0,-0.09786910197869098
F00214,1,1,-0.09840182648401818
F00157,3,3,-0.10220700152206996
F00815,9,0,-0.10484525621511921
F01161,3,0,-0.10517503805175034
F00996,3,0,-0.10616438356164383
F00208,1,1,-0.10662100456621004
F00823,8,0,-0.10930365296803651
F01117,1,0,-0.11347031963470317
F00709,3,0,-0.11347031963470318
