task,model,seed,fold,threshold,splitter,split,selected_C,inner_selection_AUPRC
primary,abl_ngram_only,7705,3,0.18400485813617706,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7705,4,0.14188756048679352,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7706,0,0.13706086575984955,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7706,1,0.21544907987117767,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7706,2,0.10889777541160583,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7706,3,0.10687994211912155,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7706,4,0.13002678751945496,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7702,0,0.16086815297603607,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7702,1,0.40085041522979736,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7702,2,0.053188301622867584,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7702,3,0.3570246994495392,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7702,4,0.08964945375919342,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7703,0,0.16457296907901764,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7703,1,0.2129310816526413,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7703,2,0.1676178127527237,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7703,3,0.2280687540769577,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7703,4,0.2633194327354431,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7704,0,0.2924651503562927,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7704,1,0.23682337999343872,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7704,2,0.08666055649518967,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7704,3,0.1598583161830902,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7704,4,0.22306841611862183,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7705,0,0.12680935859680176,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7705,1,0.19610102474689484,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7705,2,0.09854917973279953,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7705,3,0.08260361850261688,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7705,4,0.45269256830215454,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7706,0,0.27518734335899353,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7706,1,0.29277339577674866,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7706,2,0.10907894372940063,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7706,3,0.10338516533374786,StratifiedGroupKFold,family,,
primary,abl_hist_struct,7706,4,0.26444488763809204,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7702,0,0.17011454701423645,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7702,1,0.30825039744377136,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7702,2,0.20579999685287476,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7702,3,0.07235687226057053,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7702,4,0.09103327989578247,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7703,0,0.15289486944675446,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7703,1,0.4481144845485687,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7703,2,0.13902854919433594,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7703,3,0.16297434270381927,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7703,4,0.2465088665485382,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7704,0,0.20505447685718536,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7704,1,0.1609175056219101,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7704,2,0.07610151171684265,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7704,3,0.08024740219116211,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7704,4,0.1985436975955963,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7705,0,0.14252068102359772,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7705,1,0.25837966799736023,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7705,2,0.10489208996295929,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7705,3,0.07355203479528427,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7705,4,0.23262308537960052,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7706,0,0.1636601984500885,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7706,1,0.1278219223022461,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7706,2,0.12994900345802307,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7706,3,0.1464959681034088,StratifiedGroupKFold,family,,
primary,abl_hist_ngram,7706,4,0.15142132341861725,StratifiedGroupKFold,family,,
primary,abl_full_773,7702,0,0.12586522102355957,StratifiedGroupKFold,family,,
primary,abl_full_773,7702,1,0.06505899131298065,StratifiedGroupKFold,family,,
primary,abl_full_773,7702,2,0.12755466997623444,StratifiedGroupKFold,family,,
primary,abl_full_773,7702,3,0.14137113094329834,StratifiedGroupKFold,family,,
primary,abl_full_773,7702,4,0.07051502913236618,StratifiedGroupKFold,family,,
primary,abl_full_773,7703,0,0.1710432767868042,StratifiedGroupKFold,family,,
primary,abl_full_773,7703,1,0.2126091569662094,StratifiedGroupKFold,family,,
primary,abl_full_773,7703,2,0.13548673689365387,StratifiedGroupKFold,family,,
