0x8	0xf
0x2099V0x235cB0x2385V0x366V0xef	0x20a1B0x235cB0x2385B0x366B0xef
0x2380V0x441V0xef	0x5375B0x441B0xef
0x2379V0x441V0xef	0x2385B0x441B0xef
0x2387V0x441V0xef	0x2392B0x441B0xef
0x2362V0x2385V0x441V0xef	0x236aB0x2385B0x441B0xef
0x20a4V0x235cB0x2385V0x441V0xef	0x20abB0x235cB0x2385B0x441B0xef
0x2099V0x235cB0x2385V0x441V0xef	0x20a1B0x235cB0x2385B0x441B0xef
0x2380V0x51cV0xef	0x5375B0x51cB0xef
0x2379V0x51cV0xef	0x2385B0x51cB0xef
0x2387V0x51cV0xef	0x2392B0x51cB0xef
0x2362V0x2385V0x51cV0xef	0x236aB0x2385B0x51cB0xef
0x20a4V0x235cB0x2385V0x51cV0xef	0x20abB0x235cB0x2385B0x51cB0xef
0x2099V0x235cB0x2385V0x51cV0xef	0x20a1B0x235cB0x2385B0x51cB0xef
0x23e7V0x613V0xef	0x5398B0x613B0xef
0x23e0V0x613V0xef	0x23ecB0x613B0xef
0x23eeV0x613V0xef	0x23f9B0x613B0xef
0x23c9V0x23ecV0x613V0xef	0x23d1B0x23ecB0x613B0xef
0x2262V0x23c3B0x23ecV0x613V0xef	0x2269B0x23c3B0x23ecB0x613B0xef
0x2257V0x23c3B0x23ecV0x613V0xef	0x225fB0x23c3B0x23ecB0x613B0xef
0x1cf4V0x2256V0x23c3B0x23ecV0x613V0xef	0x1cfcB0x2256B0x23c3B0x23ecB0x613B0xef
0x1cf8V0x2256V0x23c3B0x23ecV0x613V0xef	0x1cd3B0x2256B0x23c3B0x23ecB0x613B0xef
0x23e7V0x71cV0xef	0x5398B0x71cB0xef
0x23e0V0x71cV0xef	0x23ecB0x71cB0xef
0x23eeV0x71cV0xef	0x23f9B0x71cB0xef
0x23c9V0x23ecV0x71cV0xef	0x23d1B0x23ecB0x71cB0xef
0x2262V0x23c3B0x23ecV0x71cV0xef	0x2269B0x23c3B0x23ecB0x71cB0xef
0x2257V0x23c3B0x23ecV0x71cV0xef	0x225fB0x23c3B0x23ecB0x71cB0xef
0x1cf4V0x2256V0x23c3B0x23ecV0x71cV0xef	0x1cfcB0x2256B0x23c3B0x23ecB0x71cB0xef
0x1cf8V0x2256V0x23c3B0x23ecV0x71cV0xef	0x1cd3B0x2256B0x23c3B0x23ecB0x71cB0xef
0x23e7V0x826V0xef	0x5398B0x826B0xef
0x23e0V0x826V0xef	0x23ecB0x826B0xef
0x23eeV0x826V0xef	0x23f9B0x826B0xef
0x23c9V0x23ecV0x826V0xef	0x23d1B0x23ecB0x826B0xef
0x2262V0x23c3B0x23ecV0x826V0xef	0x2269B0x23c3B0x23ecB0x826B0xef
0x2257V0x23c3B0x23ecV0x826V0xef	0x225fB0x23c3B0x23ecB0x826B0xef
0x1cf4V0x2256V0x23c3B0x23ecV0x826V0xef	0x1cfcB0x2256B0x23c3B0x23ecB0x826B0xef
0x1cf8V0x2256V0x23c3B0x23ecV0x826V0xef	0x1cd3B0x2256B0x23c3B0x23ecB0x826B0xef
0x23e7V0x930V0xef	0x5398B0x930B0xef
0x23e0V0x930V0xef	0x23ecB0x930B0xef
0x23eeV0x930V0xef	0x23f9B0x930B0xef
0x23c9V0x23ecV0x930V0xef	0x23d1B0x23ecB0x930B0xef
0x2262V0x23c3B0x23ecV0x930V0xef	0x2269B0x23c3B0x23ecB0x930B0xef
0x2257V0x23c3B0x23ecV0x930V0xef	0x225fB0x23c3B0x23ecB0x930B0xef
0x1cf4V0x2256V0x23c3B0x23ecV0x930V0xef	0x1cfcB0x2256B0x23c3B0x23ecB0x930B0xef
0x1cf8V0x2256V0x23c3B0x23ecV0x930V0xef	0x1cd3B0x2256B0x23c3B0x23ecB0x930B0xef
0xabaV0x149	0x4d34B0x149
0xb95V0x149	0x4d80B0x149
0xc70V0x149	0x4dccB0x149
0xd4bV0x149	0x4e18B0x149
0xde7V0x149	0xdf0B0x149
0xfafV0x149	0x4e64B0x149
0x1033V0x149	0x103cB0x149
0x11fcV0x149	0x4eb0B0x149
0x1280V0x149	0x1289B0x149
0x14bcV0x149	0x4efcB0x149
0x1541V0x149	0x154aB0x149
0x170aV0x149	0x4f48B0x149
0xa05V0x149	0xa0cB0x149
0xa08V0x149	0x1cabB0x149
0xa77V0x149	0xa82B0x149
0xa9dV0x149	0xaa6B0x149
0xab3V0x149	0xabfB0x149
0xad5V0x149	0xaedB0x149
0xb52V0x149	0xb5dB0x149
0xb78V0x149	0xb81B0x149
0xb8eV0x149	0xb9aB0x149
0xbb0V0x149	0xbc8B0x149
0xc2dV0x149	0xc38B0x149
0xc53V0x149	0xc5cB0x149
0xc69V0x149	0xc75B0x149
0xc8bV0x149	0xca3B0x149
0xd08V0x149	0xd13B0x149
0xd2eV0x149	0xd37B0x149
0xd44V0x149	0xd50B0x149
0xd66V0x149	0xd7eB0x149
0xe00V0x149	0xe0bB0x149
0xe26V0x149	0xe2fB0x149
0xe78V0x149	0xe83B0x149
0xe9eV0x149	0xea7B0x149
0xee5V0x149	0xef0B0x149
0xf0bV0x149	0xf14B0x149
0xf42V0x149	0xf4bB0x149
0xf5bV0x149	0xf66B0x149
0xf81V0x149	0xf8aB0x149
0xf8bV0x149	0xf94B0x149
0xf95V0x149	0xf9eB0x149
0xfa8V0x149	0xfb4B0x149
0xfcaV0x149	0xd89B0x149
0xd92V0x149	0xfceB0x149
0x104cV0x149	0x1057B0x149
0x1072V0x149	0x107bB0x149
0x10c4V0x149	0x10cfB0x149
0x10eaV0x149	0x10f3B0x149
0x1131V0x149	0x113cB0x149
0x1157V0x149	0x1160B0x149
0x118eV0x149	0x1197B0x149
0x11a7V0x149	0x11b2B0x149
0x11cdV0x149	0x11d6B0x149
0x11d7V0x149	0x11e0B0x149
0x11e1V0x149	0x11eaB0x149
0x11f5V0x149	0x1201B0x149
0x1217V0x149	0xfd4B0x149
0xfdeV0x149	0x121bB0x149
0x1299V0x149	0x12a4B0x149
0x12bfV0x149	0x12c8B0x149
0x1309V0x149	0x1314B0x149
0x132fV0x149	0x1338B0x149
0x1381V0x149	0x138cB0x149
0x13a7V0x149	0x13b0B0x149
0x140bV0x149	0x1416B0x149
0x1431V0x149	0x143aB0x149
0x144dV0x149	0x1457B0x149
0x1467V0x149	0x1472B0x149
0x148dV0x149	0x1496B0x149
0x1497V0x149	0x14a0B0x149
0x14a1V0x149	0x14aaB0x149
0x14b5V0x149	0x14c1B0x149
0x14d8V0x149	0x1221B0x149
0x122bV0x149	0x14dcB0x149
0x155aV0x149	0x1565B0x149
0x1580V0x149	0x1589B0x149
0x15d2V0x149	0x15ddB0x149
0x15f8V0x149	0x1601B0x149
0x163fV0x149	0x164aB0x149
0x1665V0x149	0x166eB0x149
0x169cV0x149	0x16a5B0x149
0x16b5V0x149	0x16c0B0x149
0x16dbV0x149	0x16e4B0x149
0x16e5V0x149	0x16eeB0x149
0x16efV0x149	0x16f8B0x149
0x1703V0x149	0x170fB0x149
0x1725V0x149	0x14e2B0x149
0x14ecV0x149	0x1729B0x149
0x23b2V0xd96V0x149	0x23bdB0xd96B0x149
0x23b9V0xd96V0x149	0x239bB0xd96B0x149
0x239cV0xd96V0x149	0x23a4B0xd96B0x149
0x23b2V0xfe2V0x149	0x23bdB0xfe2B0x149
0x23b9V0xfe2V0x149	0x239bB0xfe2B0x149
0x239cV0xfe2V0x149	0x23a4B0xfe2B0x149
0x23b2V0x122fV0x149	0x23bdB0x122fB0x149
0x23b9V0x122fV0x149	0x239bB0x122fB0x149
0x239cV0x122fV0x149	0x23a4B0x122fB0x149
0x23b2V0x14f0V0x149	0x23bdB0x14f0B0x149
0x23b9V0x14f0V0x149	0x239bB0x14f0B0x149
0x239cV0x14f0V0x149	0x23a4B0x14f0B0x149
0x2380V0xa82V0x149	0x5375B0xa82B0x149
0x2379V0xa82V0x149	0x2385B0xa82B0x149
0x2387V0xa82V0x149	0x2392B0xa82B0x149
0x2362V0x2385V0xa82V0x149	0x236aB0x2385B0xa82B0x149
0x20a4V0x235cB0x2385V0xa82V0x149	0x20abB0x235cB0x2385B0xa82B0x149
0x2099V0x235cB0x2385V0xa82V0x149	0x20a1B0x235cB0x2385B0xa82B0x149
0x2380V0xb5dV0x149	0x5375B0xb5dB0x149
0x2379V0xb5dV0x149	0x2385B0xb5dB0x149
0x2387V0xb5dV0x149	0x2392B0xb5dB0x149
0x2362V0x2385V0xb5dV0x149	0x236aB0x2385B0xb5dB0x149
0x20a4V0x235cB0x2385V0xb5dV0x149	0x20abB0x235cB0x2385B0xb5dB0x149
0x2099V0x235cB0x2385V0xb5dV0x149	0x20a1B0x235cB0x2385B0xb5dB0x149
0x2380V0xc38V0x149	0x5375B0xc38B0x149
0x2379V0xc38V0x149	0x2385B0xc38B0x149
0x2387V0xc38V0x149	0x2392B0xc38B0x149
0x2362V0x2385V0xc38V0x149	0x236aB0x2385B0xc38B0x149
0x20a4V0x235cB0x2385V0xc38V0x149	0x20abB0x235cB0x2385B0xc38B0x149
0x2099V0x235cB0x2385V0xc38V0x149	0x20a1B0x235cB0x2385B0xc38B0x149
0x2380V0xd13V0x149	0x5375B0xd13B0x149
0x2379V0xd13V0x149	0x2385B0xd13B0x149
0x2387V0xd13V0x149	0x2392B0xd13B0x149
0x2362V0x2385V0xd13V0x149	0x236aB0x2385B0xd13B0x149
0x20a4V0x235cB0x2385V0xd13V0x149	0x20abB0x235cB0x2385B0xd13B0x149
0x2099V0x235cB0x2385V0xd13V0x149	0x20a1B0x235cB0x2385B0xd13B0x149
0x23e7V0xe0bV0x149	0x5398B0xe0bB0x149
0x23e0V0xe0bV0x149	0x23ecB0xe0bB0x149
