0x0	0xc
0x21f2B0x167	0x220bB0x167
0x212aB0x218cB0x167	0x2136B0x218cB0x167
0x20d4B0x213eB0x218cB0x167	0x20efB0x213eB0x218cB0x167
0x2069B0x213eB0x218cB0x167	0x207bB0x213eB0x218cB0x167
0x20f9B0x213eB0x218cB0x167	0x2102B0x213eB0x218cB0x167
0x2027B0x20cfB0x213eB0x218cB0x167	0x203eB0x20cfB0x213eB0x218cB0x167
0x20a1B0x20aeB0x2102B0x213eB0x218cB0x167	0x20a8B0x20aeB0x2102B0x213eB0x218cB0x167
0x212aB0x21b9B0x167	0x2136B0x21b9B0x167
0x20d4B0x213eB0x21b9B0x167	0x20efB0x213eB0x21b9B0x167
0x2069B0x213eB0x21b9B0x167	0x207bB0x213eB0x21b9B0x167
0x20f9B0x213eB0x21b9B0x167	0x2102B0x213eB0x21b9B0x167
0x2027B0x20cfB0x213eB0x21b9B0x167	0x203eB0x20cfB0x213eB0x21b9B0x167
0x20a1B0x20aeB0x2102B0x213eB0x21b9B0x167	0x20a8B0x20aeB0x2102B0x213eB0x21b9B0x167
0x212aB0x21e6B0x167	0x2136B0x21e6B0x167
0x20d4B0x213eB0x21e6B0x167	0x20efB0x213eB0x21e6B0x167
0x2069B0x213eB0x21e6B0x167	0x207bB0x213eB0x21e6B0x167
0x20f9B0x213eB0x21e6B0x167	0x2102B0x213eB0x21e6B0x167
0x2027B0x20cfB0x213eB0x21e6B0x167	0x203eB0x20cfB0x213eB0x21e6B0x167
0x20a1B0x20aeB0x2102B0x213eB0x21e6B0x167	0x20a8B0x20aeB0x2102B0x213eB0x21e6B0x167
0x212aB0x2213B0x167	0x2136B0x2213B0x167
0x20d4B0x213eB0x2213B0x167	0x20efB0x213eB0x2213B0x167
0x2069B0x213eB0x2213B0x167	0x207bB0x213eB0x2213B0x167
0x20f9B0x213eB0x2213B0x167	0x2102B0x213eB0x2213B0x167
0x2027B0x20cfB0x213eB0x2213B0x167	0x203eB0x20cfB0x213eB0x2213B0x167
0x20a1B0x20aeB0x2102B0x213eB0x2213B0x167	0x20a8B0x20aeB0x2102B0x213eB0x2213B0x167
0x2315B0x183	0x2322B0x183
0x232aB0x183	0x233fB0x183
0x22e8B0x2347B0x183	0x22f4B0x2347B0x183
0x2292B0x22fcB0x2347B0x183	0x22adB0x22fcB0x2347B0x183
0x222bB0x22fcB0x2347B0x183	0x223dB0x22fcB0x2347B0x183
0x22b7B0x22fcB0x2347B0x183	0x22c0B0x22fcB0x2347B0x183
0x2027B0x228dB0x22fcB0x2347B0x183	0x203eB0x228dB0x22fcB0x2347B0x183
0x225fB0x226cB0x22c0B0x22fcB0x2347B0x183	0x2266B0x226cB0x22c0B0x22fcB0x2347B0x183
0x20f7B0x213eB0x218cB0x167	0x20f9B0x213eB0x218cB0x167
0x20f7B0x213eB0x21b9B0x167	0x20f9B0x213eB0x21b9B0x167
0x20f7B0x213eB0x21e6B0x167	0x20f9B0x213eB0x21e6B0x167
0x20f7B0x213eB0x2213B0x167	0x20f9B0x213eB0x2213B0x167
0x22b5B0x22fcB0x2347B0x183	0x22b7B0x22fcB0x2347B0x183
0x1740B0x17c	0x1788B0x17c
0x186eB0x17c	0x18b6B0x17c
0x199cB0x17c	0x19e4B0x17c
0x1acaB0x17c	0x1b12B0x17c
0x1731B0x17c	0x1736B0x17c
0x185eB0x17c	0x1864B0x17c
0x17b4B0x17c	0x17c8B0x17c
0x17f3B0x17c	0x1837B0x17c
0x183aB0x17c	0x1845B0x17c
0x1736B0x17c	0x1740B0x17c
0x198cB0x17c	0x1992B0x17c
0x18e2B0x17c	0x18f6B0x17c
0x1921B0x17c	0x1965B0x17c
0x1968B0x17c	0x1973B0x17c
0x1864B0x17c	0x186eB0x17c
0x1abaB0x17c	0x1ac0B0x17c
0x1a10B0x17c	0x1a24B0x17c
0x1a4fB0x17c	0x1a93B0x17c
0x1a96B0x17c	0x1aa1B0x17c
0x1992B0x17c	0x199cB0x17c
0x1b3eB0x17c	0x1b52B0x17c
0x1b7dB0x17c	0x1bc1B0x17c
0x1bc4B0x17c	0x1bcfB0x17c
0x1ac0B0x17c	0x1acaB0x17c
0x23d7B0x17cfB0x17c	0x23e4B0x17cfB0x17c
0x225fB0x23c3B0x23ecB0x17cfB0x17c	0x2266B0x23c3B0x23ecB0x17cfB0x17c
0x23d7B0x18fdB0x17c	0x23e4B0x18fdB0x17c
0x225fB0x23c3B0x23ecB0x18fdB0x17c	0x2266B0x23c3B0x23ecB0x18fdB0x17c
0x23d7B0x1a2bB0x17c	0x23e4B0x1a2bB0x17c
0x225fB0x23c3B0x23ecB0x1a2bB0x17c	0x2266B0x23c3B0x23ecB0x1a2bB0x17c
0x23d7B0x1b59B0x17c	0x23e4B0x1b59B0x17c
0x225fB0x23c3B0x23ecB0x1b59B0x17c	0x2266B0x23c3B0x23ecB0x1b59B0x17c
0x1befB0x198	0x1bf4B0x198
0x1c10B0x198	0x1c59B0x198
0x1c5cB0x198	0x1c67B0x198
0x1bf4B0x198	0x1bfeB0x198
0x1bfeB0x198	0x1c08B0x198
