theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.85,theta085,7703,4,authguard_seq,426,150,276,160,0.9635126652717828,0.9819685990338164,0.0357243809855657,0.7511302790338776,0.9666666666666668,0.0398550724637681,0.352112676056338
0.85,theta085,7703,4,emulator_logreg,426,150,276,160,0.8690067365383215,0.9505434782608696,0.083967779711235,0.8561029301589052,0.7533333333333333,0.0543478260869565,0.352112676056338
0.85,theta085,7704,0,authguard_seq,462,176,286,163,0.9408130802137944,0.9690281309599492,0.0616452594967066,0.8396317966685867,0.5568181818181818,0.0244755244755244,0.3809523809523809
0.85,theta085,7704,0,emulator_logreg,462,176,286,163,0.9659651192246784,0.9821996185632548,0.047649757274451,0.7969111779176588,0.875,0.0699300699300699,0.3809523809523809
0.85,theta085,7704,1,authguard_seq,431,137,294,153,0.9450461800347164,0.98627042057699,0.0363234756862035,0.592273615040864,0.9927007299270072,0.0476190476190476,0.3178654292343387
0.85,theta085,7704,1,emulator_logreg,431,137,294,153,0.9156005616333088,0.9666070807885198,0.0536330666974732,0.7755189596978492,0.7664233576642335,0.0578231292517006,0.3178654292343387
0.85,theta085,7704,2,authguard_seq,433,156,277,157,0.9609191958019248,0.9826899935203184,0.0444629935821075,0.2369847375730568,0.9871794871794872,0.0722021660649819,0.3602771362586605
0.85,theta085,7704,2,emulator_logreg,433,156,277,157,0.9447401894238084,0.9722530778487456,0.0582413256964994,0.7583170159244678,0.6153846153846154,0.0180505415162454,0.3602771362586605
0.85,theta085,7704,3,authguard_seq,438,108,330,157,0.919687375032238,0.9695286195286196,0.0785987620104725,0.6397626426863381,0.9166666666666666,0.1363636363636363,0.2465753424657534
0.85,theta085,7704,3,emulator_logreg,438,108,330,157,0.9178725483450246,0.9782828282828284,0.0475992709137634,0.808365970563104,0.7222222222222222,0.0181818181818181,0.2465753424657534
0.85,theta085,7704,4,authguard_seq,426,150,276,160,0.9588588334281384,0.9876207729468598,0.0665289415202839,0.1875710622755108,0.98,0.0434782608695652,0.352112676056338
0.85,theta085,7704,4,emulator_logreg,426,150,276,160,0.8690067365383215,0.9505434782608696,0.083967779711235,0.8561029301589052,0.7533333333333333,0.0543478260869565,0.352112676056338
0.9,theta090,7702,0,authguard_seq,431,130,301,187,0.9648059881580512,0.992090467671863,0.0290286233554803,0.8807859598726948,0.9692307692307692,0.0299003322259136,0.3016241299303944
0.9,theta090,7702,0,emulator_logreg,431,130,301,187,0.9188606103170596,0.972885254280603,0.0425748379403509,0.7103429007723083,0.9846153846153848,0.0531561461794019,0.3016241299303944
0.9,theta090,7702,1,authguard_seq,458,157,301,187,0.9752546356412768,0.9921069894407176,0.0604629259048447,0.824652998038506,0.9808917197452228,0.0531561461794019,0.3427947598253275
0.9,theta090,7702,1,emulator_logreg,458,157,301,187,0.9270873979036512,0.9729352265272868,0.0387418280090207,0.7929441047964202,0.8407643312101911,0.0498338870431893,0.3427947598253275
0.9,theta090,7702,2,authguard_seq,454,174,280,188,0.970244828753086,0.9813936781609196,0.0447039173724538,0.8473295580993215,0.5747126436781609,0.0142857142857142,0.3832599118942731
0.9,theta090,7702,2,emulator_logreg,454,174,280,188,0.9622798654521144,0.9803674055829228,0.0620132513230644,0.8212519634160353,0.6551724137931034,0.0071428571428571,0.3832599118942731
0.9,theta090,7702,3,authguard_seq,443,131,312,185,0.8861804471863735,0.9755456057936974,0.0780791940560868,0.6314570356647751,0.9770992366412212,0.141025641025641,0.2957110609480812
