item_id,dependence_cluster_id,dependence_cluster_size,authority_address,creator_address,creator_kind,linkage_evidence
ethereum:0xc7eccbb718cf9563f92127f20ddcbb2b81589a8f,D0114,1,0xa85f01bfb39e4a46a9a21b886b1728c77a3c0ab4,0x6144d64df075c7bcae012cd2086be336efa7b614,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xc842b4b9b655e200ffb4d14a5d5de9d8ee669cc9,D0066,3,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,0x2854b6fb7ed126069f58429d98910e5afdd9a59b,CONTRACT,SHARED_AUTHORITY_EOA
ethereum:0xcc3de3ab890a913e1544be4439308d23a5b78e45,D0115,1,0x9451e2eef5bcabd6935c534deb5541ec268a0361,0x52544cb203c31e6b0f0a1a2f0d48f72ee08e1cde,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xce330c05d5bb99d524907d6772ead85a171f4d5c,D0116,1,0x739f57ce7296f9b2e78dc2e56536399a63157ad6,0x1db23dd2adea3af36acd1dcbb4d1e5205c90726e,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xd4d594c99f23b1fb9d65fdd9062854b1a1c5780b,D0117,1,0x21426d68a9e5df153fe75ce0fed20173ebcb80ef,0x4e59b44847b379578588920ca78fbf26c0b4956c,CONTRACT,SINGLETON_NO_MUST_LINK
ethereum:0xd6912cce705724bcddebdb9d1e95af14cac041d3,D0082,2,0x8c76a394d736422cd0590d57f165b05e4e117835,0xee514bd06a8479e3e4771f03cd01d2af22aeb86d,EOA,SHARED_AUTHORITY_EOA
ethereum:0xd6c3ea8b6d52c8b193aebb66fc2482b8408f98d7,D0118,1,0x0d4e0862688205cfe808cfba9d9067ae24c42c55,0xd5c00434dba6fdf99da834fc419088f45f45e945,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xd72ec5026178f03a00603865dc79e49835c70885,D0119,1,0x5a72ffa8d1a908cb8c9e560c38a300d61692c014,0xd608aac6d40ed1f935d7ed22bc2aa89d8b9176c0,EOA,SINGLETON_NO_MUST_LINK
ethereum:0xd750479e017fd6e1ff628683acd0b677c17da37a,D0018,2,0x0d78a2d04b925f50ee233735b60c862357492d2d,0xeb4c1fe541e5361340f10b5c712d82aa6e441319,EOA,SHARED_DEPLOYER_EOA
ethereum:0xd7af111c28250f7ea1b954a9189dc7029a162147,D0120,1,0x7d52248d44f2d401b73be0e6d62f4a0e5440750e,0x4271a9d7e3855f0c93c20358b73b064ca8a2488a,CONTRACT,SINGLETON_NO_MUST_LINK
